ÈÕÆÚ,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH
2014/1/2,0.5906,0.2551,-0.1004,-0.6729,1.324,0.0642,1.3138,0,0.4104,0,1.6686,1.3414,,,,1.2089,0.6718,2.1864,-0.218,-1.4455,0.1918,0.5102,0.3552,,,,,,,,0.6279,0.2708,0.4343,0.3232,0.8349,0.8593,0.6627,1.141,1.0775,0.6238,0.9742,0.8111,2.4092,,,,3.4013,2.3545,2.5558,0.8446,0.6125,2.3719,0.5407,0.6019,,,,,,,,0.3118,1967893566,2175604346,4386259803,6356007044,13858252000,6401794268,1234899203,2290395584,1618934923,7722859599,1960176303,1129049420,,,,1622707460,4236900000,5228707392,7064054108,11511701085,4668637256,1840078579,1469000000,,,,,,,,4668637256,337.8756,-13.7167,1238.7087,101.1332,40.6425,22.9168,61.3372,45.398,83.3976,53.5886,51.6494,46.7749,,,,42.1768,2806.8432,430.6842,20.1735,54.6226,180.6687,111.9655,106.2131,,,,,,,,67.5901,8.6756,10.1762,1.8022,1.9436,3.9356,2.1723,2.7255,3.6566,2.3058,3.3026,2.914,2.608,,,,4.172,4.4496,4.4645,2.3778,2.3273,6.6495,3.8673,5.7223,,,,,,,,2.4877,15.0688,2.4477,1.5265,1.6545,3.8086,1.9586,4.1147,2.831,0.5683,2.2154,8.0666,6.6226,,,,2.7161,11.0264,4.1627,3.3034,3.8221,4.6127,24.1805,5.8253,,,,,,,,1.7257
2014/1/3,-0.9785,0,-2.0101,-1.2195,-0.3843,-1.1553,-0.8391,-1.9667,-1.2262,0.3902,-1.0187,0.2647,,,,-1.3271,1.848,3.1532,-1.0197,-1.7333,0,-3.2487,-0.0885,,,,,,,,0.156,0.2587,0.5376,0.4652,1.4644,1.0876,0.7821,1.1718,1.0064,0.7326,1.2523,0.868,3.6495,,,,2.7403,4.0015,6.5741,0.7204,0.4306,2.2812,1.1026,0.3871,,,,,,,,0.3185,1948638247,2175604346,4298093777,6278494763,13804992000,6327832588,1224537730,2245349983,1599084222,7752997588,1940208463,1132038300,,,,1601171860,4315200000,5393576544,6992024423,11312164933,4668637256,1780299376,1467700000,,,,,,,,4668637256,334.5696,-13.7167,1213.81,99.8998,40.4863,22.652,60.8225,44.5051,82.375,53.7978,51.1233,46.8987,,,,41.6171,2858.715,444.2643,19.9678,53.6758,180.6687,108.328,106.1191,,,,,,,,67.75,8.5907,10.1762,1.7659,1.9198,3.9205,2.1472,2.7026,3.5847,2.2776,3.3155,2.8843,2.6149,,,,4.1167,4.5319,4.6053,2.3536,2.2869,6.6495,3.7417,5.7173,,,,,,,,2.4935,14.9213,2.4477,1.4958,1.6344,3.794,1.936,4.0801,2.7753,0.5613,2.224,7.9845,6.6401,,,,2.6801,11.2301,4.2939,3.2697,3.7559,4.6127,23.3949,5.8201,,,,,,,,1.7298
2014/1/6,-2.1739,0.7634,-2.6667,-3.8409,-2.9321,0.0649,8.8462,-4.1667,-1.6552,-3.1098,2.287,1.6502,,,,-0.4707,-7.2077,3.0568,-0.9566,-2.171,-2.8708,-3.9874,-4.8716,,,,,,,,-2.1807,0.3144,1.5762,0.4848,1.2761,0.9693,1.5136,10.1716,1.2873,1.0821,1.0874,2.5786,6.6043,,,,3.6636,2.8139,5.5751,1.0084,0.4682,1.3973,1.131,0.9166,,,,,,,,0.1774,1906276546,2192212012,4183477943,6037345445,13400216000,6331941570,1332862222,2151793734,1572616621,7511893678,1984581441,1150718800,,,,1593634400,4004175000,5558445696,6925139715,11066581976,4534609392,1709311573,1396200000,,,,,,,,4534609392,327.2963,-13.8214,1181.4417,96.0628,39.2992,22.6667,66.203,42.6507,81.0116,52.1248,52.2925,47.6726,,,,41.4212,2652.6685,457.8445,19.7768,52.5105,175.482,104.0085,100.9494,,,,,,,,66.2943,8.4039,10.2538,1.7188,1.8461,3.8056,2.1486,2.9417,3.4353,2.2399,3.2124,2.9503,2.658,,,,4.0973,4.2052,4.746,2.3311,2.2373,6.4586,3.5925,5.4387,,,,,,,,2.44,14.597,2.4664,1.4559,1.5716,3.6827,1.9373,4.4411,2.6596,0.552,2.1549,8.1671,6.7497,,,,2.6674,10.4207,4.4252,3.2384,3.6743,4.4803,22.462,5.5366,,,,,,,,1.6926
2014/1/7,-0.6061,3.1566,1.0537,0.2853,0.2385,4.1531,0.212,0.161,4.2076,0.6018,3.4097,3.1169,,,,8.1757,-1.9555,1.0593,1.263,0,0.7882,0.6557,-1.3035,,,,,,,,0.6369,0.2324,2.1134,0.3268,0.9875,0.5997,2.7238,7.7697,0.8346,4.3167,0.7373,3.2563,6.9745,,,,6.6723,2.2404,4.1975,0.9319,0.3427,1.9196,0.6016,0.904,,,,,,,,0.1082,1894723355,2261410624,4227560956,6054570396,13432172000,6594916431,1335688078,2155258780,1638785624,7557100662,2052250233,1186585360,,,,1723924780,3925875000,5617327536,7012604333,11066581976,4570350156,1720520174,1378000000,,,,,,,,4570350156,325.3127,-14.2577,1193.8911,96.3369,39.393,23.6081,66.3433,42.7194,84.4202,52.4385,54.0755,49.1585,,,,44.8076,2600.7967,462.6945,20.0266,52.5105,176.8651,104.6906,99.6335,,,,,,,,66.6979,8.353,10.5775,1.737,1.8514,3.8146,2.2378,2.9479,3.4409,2.3341,3.2317,3.0509,2.7409,,,,4.4323,4.123,4.7963,2.3605,2.2373,6.5095,3.616,5.3678,,,,,,,,2.4548,14.5085,2.5443,1.4713,1.5761,3.6915,2.0177,4.4505,2.6639,0.5752,2.1678,8.4456,6.96,,,,2.8855,10.2169,4.472,3.2793,3.6743,4.5156,22.6093,5.4644,,,,,,,,1.7029
2014/1/8,-1.0163,-3.1824,-1.0428,-1.138,-0.5551,1.1838,-0.2116,-1.1254,-1.4805,-1.1964,-0.1622,-0.6297,,,,-2.3111,-0.3878,-1.8868,-1.2472,-0.9709,-0.6843,-1.8458,0.1887,,,,,,,,-0.3165,0.2759,1.3005,0.3655,0.9183,0.6235,2.0971,5.1299,0.7779,2.4486,1.2697,1.7406,3.9471,,,,5.1622,1.2512,2.846,0.9417,0.4625,1.6149,0.6045,0.4971,,,,,,,,0.2167,1875468037,2189444068,4183477943,5985670591,13357608000,6672987093,1332862222,2131003456,1614523656,7466686695,2048922259,1179113160,,,,1684083920,3910650000,5511340224,6925139715,10959139433,4539076987,1688762472,1380600000,,,,,,,,4539076987,322.0067,-13.804,1181.4417,95.2406,39.1743,23.8876,66.203,42.2386,83.1704,51.8111,53.9878,48.849,,,,43.7721,2590.7105,453.9644,19.7768,52.0007,175.6549,102.7582,99.8215,,,,,,,,66.5272,8.2681,10.2409,1.7188,1.8303,3.7935,2.2643,2.9417,3.4022,2.2995,3.1931,3.046,2.7236,,,,4.3298,4.107,4.7058,2.3311,2.2155,6.465,3.5493,5.378,,,,,,,,2.4485,14.361,2.4633,1.4559,1.5581,3.671,2.0416,4.4411,2.634,0.5667,2.1419,8.4319,6.9162,,,,2.8188,10.1773,4.3877,3.2384,3.6387,4.4847,22.192,5.4747,,,,,,,,1.6985
2014/1/9,-1.848,-4.9305,-1.8967,-3.0216,-1.0367,-1.3547,-4.0989,0.813,-3.4153,-2.1191,-4.4396,-5.2598,,,,-0.2558,-3.6151,2.5641,-2.3031,-0.9804,-1.1811,-0.5531,-4.1431,,,,,,,,-0.3175,0.3478,0.9478,0.3076,0.7984,0.6793,1.2111,4.9314,1.3497,1.5927,1.4299,1.5098,3.9122,,,,4.2847,1.3539,5.1415,0.7314,0.4202,1.2607,0.7891,0.7073,,,,,,,,0.1924,1840808463,2081494234,4104128520,5804808602,13219132000,6582589484,1278229000,2148328687,1559382821,7308462255,1957957654,1117093900,,,,1679776800,3769275000,5652656640,6765645413,10851696889,4485465842,1679421972,1323400000,,,,,,,,4485465842,316.0559,-13.1234,1159.0329,92.3628,38.7682,23.564,63.4893,42.582,80.3299,50.7132,51.591,46.2796,,,,43.6601,2497.053,465.6045,19.3213,51.4909,173.5803,102.1898,95.6858,,,,,,,,66.3485,8.1153,9.736,1.6862,1.775,3.7541,2.2337,2.8211,3.4298,2.221,3.1254,2.9107,2.5803,,,,4.3187,3.9585,4.8265,2.2774,2.1938,6.3886,3.5296,5.1552,,,,,,,,2.442,14.0956,2.3419,1.4283,1.5111,3.633,2.014,4.259,2.6554,0.5474,2.0965,8.0575,6.5524,,,,2.8116,9.8094,4.5002,3.1638,3.603,4.4318,22.0693,5.2479,,,,,,,,1.694
2014/1/10,-2.9289,-2.2606,1.826,-2.9674,-2.0145,0.6242,-3.0214,10,-0.2829,-2.5773,-0.9065,0,,,,-4.4231,0,-5.8333,-3.6502,-5.0919,-1.0956,-1.2236,-1.3752,,,,,,,,-0.6369,0.2859,0.7371,0.7595,1.8711,0.5988,0.8134,3.3188,4.5086,1.2714,1.0461,1.0862,2.1698,,,,2.4861,1.1538,2.9989,1.0333,0.7873,1.4537,0.6076,0.6269,,,,,,,,0.0931,1786893571,2034439178,4179069642,5632559088,12952832000,6623679306,1239608964,2363161556,1554971554,7120099826,1940208463,1117093900,,,,1605478980,3769275000,5322918336,6518686493,10299135237,4436322292,1658872871,1305200000,,,,,,,,4436322292,306.799,-12.8267,1180.1968,89.6221,37.9872,23.7111,61.5711,46.8402,80.1026,49.4061,51.1233,46.2796,,,,41.729,2497.053,438.4443,18.6161,48.869,171.6785,100.9394,94.3698,,,,,,,,65.817,7.8776,9.5159,1.717,1.7223,3.6785,2.2476,2.7359,3.7728,2.2147,3.0449,2.8843,2.5803,,,,4.1277,3.9585,4.5449,2.1942,2.0821,6.3186,3.4865,5.0843,,,,,,,,2.4224,13.6828,2.2889,1.4544,1.4662,3.5598,2.0265,4.1304,2.9209,0.5458,2.0425,7.9845,6.5524,,,,2.6873,9.8094,4.2377,3.0483,3.4195,4.3832,21.7992,5.1757,,,,,,,,1.6804
2014/1/13,-1.9397,-0.2721,-0.4219,-0.3058,-0.0822,1.1166,1.4438,-2.346,2.2695,0.5291,3.9451,3.0769,,,,-4.896,-1.6734,-5.9735,-0.2368,-2.8316,1.5106,-3.7162,0.7968,,,,,,,,0.3205,0.3826,0.5148,0.6474,0.7965,0.4708,1.2432,2.7509,6.0333,1.5753,1.0736,1.1819,4.2701,,,,4.098,0.7861,3.5184,0.4834,0.852,2.1174,0.8352,0.4438,,,,,,,,0.1198,1752233997,2028903289,4161436437,5615334137,12942180000,6697640986,1257506054,2307720816,1590261689,7157772312,2016751850,1151466020,,,,1526874040,3706200000,5004956400,6503251560,10007505477,4503336224,1597225568,1315600000,,,,,,,,4503336224,300.8482,-12.7918,1175.2171,89.348,37.9559,23.9759,62.46,45.7414,81.9205,49.6675,53.1401,47.7036,,,,39.686,3432.1419,412.254,18.572,47.4852,174.2718,97.1883,95.1218,,,,,,,,65.9652,7.7248,9.49,1.7098,1.7171,3.6755,2.2727,2.7754,3.6843,2.265,3.061,2.9981,2.6597,,,,3.9256,5.4409,4.2734,2.189,2.0232,6.4141,3.3569,5.1248,,,,,,,,2.4279,13.4174,2.2827,1.4483,1.4617,3.5568,2.0492,4.19,2.8524,0.5582,2.0533,8.2995,6.754,,,,2.5557,13.4828,3.9845,3.0411,3.3227,4.4494,20.9891,5.217,,,,,,,,1.6842
2014/1/14,1.5385,0.8186,-0.1059,3.9877,1.6461,-0.2454,0.824,3.003,3.3287,2.3158,1.2651,1.1032,,,,2.3272,1.7606,3.7647,0.9494,1.9939,0.2976,3.6257,2.1739,,,,,,,,0.639,0.3468,0.4558,0.4104,1.4687,0.5124,1.0958,2.0393,4.0226,2.8899,0.9234,1.0391,2.3763,,,,1.5547,0.8986,1.9439,0.4018,0.3424,2.0464,0.7221,0.3084,,,,,,,,0.0549,1779191443,2045510956,4157028135,5839258504,13155220000,6681205057,1267867527,2377021741,1643196890,7323531249,2042266312,1164168760,,,,1562407780,3771450000,5193378288,6564991290,10207041629,4516739010,1655136671,1344200000,,,,,,,,4516739010,305.4766,-12.8965,1173.9721,92.911,38.5807,23.917,62.9747,47.115,84.6474,50.8177,53.8124,48.2298,,,,40.6095,3492.567,427.7742,18.7483,48.432,174.7905,100.7121,97.1897,,,,,,,,66.3649,7.8437,9.5677,1.708,1.7855,3.736,2.2671,2.7983,3.7949,2.3404,3.1319,3.0361,2.6891,,,,4.017,5.5367,4.4343,2.2098,2.0635,6.4332,3.4786,5.2362,,,,,,,,2.4426,13.6238,2.3014,1.4467,1.52,3.6154,2.0441,4.2245,2.938,0.5768,2.1008,8.4045,6.8286,,,,2.6152,13.7202,4.1345,3.07,3.3889,4.4627,21.7501,5.3304,,,,,,,,1.6944
2014/1/15,-0.6494,-0.406,-1.1665,1.4749,0.5668,3.0135,0.6686,-0.8746,0.4027,0.823,0.7061,1.7972,,,,4.3418,1.4418,0.2268,0.2351,2.2556,-1.2859,1.4673,0.0967,,,,,,,,-0.3175,0.1973,0.4182,0.5537,1.2533,0.5511,2.0296,2.7008,3.0067,2.8648,1.0914,1.6445,3.815,,,,2.9464,0.8883,2.5151,0.462,0.5261,1.1697,0.7178,0.3109,,,,,,,,0.1617,1767638252,2037207123,4108536821,5925383261,13229784000,6882545185,1276345096,2356231464,1649813791,7383807227,2056687530,1185090920,,,,1630244920,3825825000,5205154656,6580426223,10437275650,4458660269,1679421972,1345500000,,,,,,,,4458660269,303.493,-12.8442,1160.2779,94.2813,38.7994,24.6378,63.3958,46.7029,84.9883,51.236,54.1924,49.0966,,,,42.3727,3542.9212,428.7442,18.7924,49.5245,172.5429,102.1898,97.2837,,,,,,,,66.2356,7.7928,9.5288,1.6881,1.8119,3.7572,2.3354,2.817,3.7617,2.3498,3.1576,3.0575,2.7374,,,,4.1914,5.6165,4.4444,2.215,2.11,6.3505,3.5296,5.2412,,,,,,,,2.4378,13.5354,2.292,1.4298,1.5425,3.6359,2.1057,4.2528,2.9123,0.5791,2.1181,8.4638,6.9513,,,,2.7287,13.918,4.1439,3.0772,3.4654,4.4053,22.0693,5.3355,,,,,,,,1.6911
2014/1/16,5.0109,0.5435,1.6094,-1.0174,1.2882,-1.194,0.2952,0,2.2727,0.8163,0.9709,2.7112,,,,-1.3871,-2.1603,1.6968,1.5637,-0.7353,0.4008,-0.7786,1.3527,,,,,,,,0.1592,0.8893,0.6257,0.7451,0.7761,0.8604,1.4939,1.7644,3.7404,4.1738,0.8602,2.2483,6.366,,,,2.3149,1.258,3.0537,0.8085,0.3209,2.1961,0.674,0.4584,,,,,,,,0.0806,1856212718,2048278900,4174661341,5865095931,13400216000,6800365541,1280112904,2356231464,1687309559,7444083204,2076655370,1217221380,,,,1607632540,3743175000,5293477416,6683325773,10360530977,4476530651,1666345271,1363700000,,,,,,,,4476530651,318.7007,-12.914,1178.9519,93.3221,39.2992,24.3436,63.5829,46.7029,86.9199,51.6542,54.7186,50.4277,,,,41.785,3466.3828,436.0193,19.0862,49.1603,173.2345,101.3941,98.5996,,,,,,,,66.4064,8.1832,9.5806,1.7152,1.7934,3.8056,2.3076,2.8253,3.7617,2.4032,3.1834,3.0872,2.8116,,,,4.1333,5.4952,4.5198,2.2497,2.0945,6.3759,3.5022,5.3121,,,,,,,,2.4441,14.2136,2.3045,1.4529,1.5268,3.6827,2.0806,4.2653,2.9123,0.5923,2.1354,8.546,7.1397,,,,2.6909,13.6173,4.2142,3.1253,3.4399,4.4229,21.8974,5.4077,,,,,,,,1.6955
2014/1/17,-1.0373,-1.8919,-2.9567,-1.7621,-3.1797,1.9335,-3.0169,-3.6765,-1.6993,0.2024,-3.2051,-1.2891,,,,-0.4019,-1.5689,-3.6707,-1.6936,-2.963,-1.5968,-0.8969,-0.1907,,,,,,,,-0.6359,0.5346,0.5287,0.4247,0.5768,0.6773,1.801,1.9792,2.5014,2.1267,0.7125,2.1346,3.6325,,,,2.1118,0.5984,1.578,0.4682,0.3858,1.7477,0.4977,0.354,,,,,,,,0.0611,1836957399,2009527678,4051228904,5761746223,12974136000,6931852971,1241492868,2269605307,1658636324,7459152198,2010095903,1201529760,,,,1601171860,3684450000,5099167344,6570136268,10053552281,4405049124,1651400471,1361100000,,,,,,,,4405049124,315.3947,-12.6697,1144.0937,91.6776,38.0497,24.8143,61.6647,44.9859,85.4428,51.7588,52.9648,49.7776,,,,41.6171,3412.0002,420.0141,18.763,47.7037,170.4683,100.4848,98.4116,,,,,,,,65.9581,8.0983,9.3994,1.6645,1.7618,3.6846,2.3522,2.7401,3.6234,2.3624,3.1899,2.9882,2.7754,,,,4.1167,5.409,4.3539,2.2116,2.0325,6.2741,3.4708,5.302,,,,,,,,2.4276,14.0662,2.2609,1.4099,1.4999,3.5656,2.1208,4.1366,2.8053,0.5822,2.1397,8.2721,7.0477,,,,2.6801,13.4037,4.0595,3.0724,3.338,4.3523,21.701,5.3974,,,,,,,,1.684
2014/1/20,1.6771,-1.3774,-0.7617,1.7937,0.3284,-0.5928,-1.3657,-1.8321,-1.4628,-2.9293,0.4415,0.4975,,,,1.076,2.4203,3.4642,-1.3312,-1.0687,0,-1.3575,-1.8147,,,,,,,,0,0.4503,0.3576,0.2737,0.5036,0.4493,1.2652,1.4631,1.5012,1.1918,0.684,0.9937,3.4363,,,,2.9377,0.8315,3.1882,0.3763,0.2304,,0.8729,0.2776,,,,,,,,,1867765909,1981848233,4020370795,5865095931,13016744000,6890763149,1224537730,2228024752,1634374357,7240651780,2018970499,1207507520,,,,1618400340,3773625000,5275812864,6482671650,9946109737,4405049124,1628983270,1336400000,,,,,,,,4405049124,320.6843,-12.4951,1135.3792,93.3221,38.1746,24.6672,60.8225,44.1617,84.193,50.2426,53.1986,50.0253,,,,42.0649,3494.5811,434.5642,18.5132,47.1939,170.4683,99.1207,96.6257,,,,,,,,66.0035,8.2342,9.2699,1.6518,1.7934,3.6967,2.3382,2.7026,3.557,2.3278,3.0964,3.0014,2.7892,,,,4.1609,5.5399,4.5047,2.1821,2.0108,6.2741,3.4236,5.2058,,,,,,,,2.4293,14.3021,2.2297,1.3992,1.5268,3.5773,2.1082,4.0801,2.7539,0.5737,2.0771,8.3086,7.0828,,,,2.7089,13.7281,4.2002,3.0315,3.3023,4.3523,21.4065,5.2994,,,,,,,,1.6852
2014/1/21,-1.0309,1.5363,0.9868,1.1747,1.5548,1.1926,2.0769,3.888,0.5398,0.7284,2.2527,1.9802,,,,-1.7299,0.1729,2.9018,1.3492,2.3148,0,1.1468,1.6537,,,,,,,,0,0.3542,0.5297,0.2905,0.745,0.5769,1.1674,1.2492,1.909,1.454,0.6585,1.2305,2.6085,,,,2.8187,0.5794,4.7027,0.3195,0.2675,,0.6463,0.4892,,,,,,,,,1848510590,2012295622,4060045507,5933995737,13219132000,6972942793,1249970437,2314650908,1643196890,7293393261,2064452801,1231418560,,,,1590404060,3780150000,5428905648,6570136268,10176343759,4405049124,1647664271,1358500000,,,,,,,,4405049124,317.3783,-12.6871,1146.5836,94.4184,38.7682,24.9614,62.0857,45.8787,84.6474,50.6086,54.397,51.0159,,,,41.3372,3500.6236,447.1744,18.763,48.2864,170.4683,100.2574,98.2236,,,,,,,,65.9851,8.1493,9.4123,1.6681,1.8145,3.7541,2.3661,2.7588,3.6953,2.3404,3.119,3.069,2.8444,,,,4.089,5.5495,4.6354,2.2116,2.0573,6.2741,3.4629,5.2919,,,,,,,,2.4286,14.1546,2.264,1.413,1.5447,3.633,2.1334,4.1649,2.8609,0.5768,2.0922,8.4958,7.223,,,,2.662,13.7518,4.322,3.0724,3.3787,4.3523,21.6519,5.3871,,,,,,,,1.6847
2014/1/22,1.875,1.7882,2.063,1.1611,2.5786,1.3553,1.9593,1.497,2.6846,2.376,0.6985,0.1214,,,,4.1977,1.2083,0.7592,2.4276,2.8658,0,3.0612,1.8182,,,,,,,,0,0.4205,0.5641,0.4404,0.8281,1.1298,1.8726,2.0364,2.2677,2.6623,1.1422,1.4199,2.9906,,,,4.6555,0.8515,3.6314,0.7466,0.452,,1.4105,0.4775,,,,,,,,,1883170164,2048278900,4143803231,6002895542,13559996000,7067449384,1274461191,2349301371,1687309559,7466686695,2078874019,1232913000,,,,1657164420,3825825000,5470122936,6729630570,10467973520,4405049124,1698102973,1383200000,,,,,,,,4405049124,323.3291,-12.914,1170.2373,95.5147,39.7678,25.2997,63.3022,46.5655,86.9199,51.8111,54.777,51.0778,,,,43.0724,3542.9212,450.5694,19.2185,49.6701,170.4683,103.3265,100.0095,,,,,,,,66.0078,8.3021,9.5806,1.7025,1.8356,3.8509,2.3982,2.8128,3.7507,2.4032,3.1931,3.0905,2.8479,,,,4.2606,5.6165,4.6706,2.2652,2.1163,6.2741,3.5689,5.3881,,,,,,,,2.4294,14.42,2.3045,1.4421,1.5626,3.7266,2.1623,4.2465,2.9038,0.5923,2.1419,8.5551,7.2318,,,,2.7738,13.918,4.3548,3.147,3.4756,4.3523,22.3148,5.485,,,,,,,,1.6853
2014/1/23,-0.2045,0.1351,-0.2128,-0.8608,-1.1783,2.6744,-0.0739,-0.7375,-0.915,0.8073,1.3874,-0.6667,,,,1.6894,0.9096,0,0.0765,0,0,-0.11,4.1353,,,,,,,,0,0.3644,0.7992,0.3366,0.7525,0.7801,1.9683,2.0661,1.9306,1.8092,1.1202,2.1522,2.8195,,,,5.5713,0.8421,3.1488,0.5432,0.4698,,0.9649,0.9286,,,,,,,,,1879319100,2051046845,4134986629,5951220688,13400216000,7256462565,1273519239,2331976140,1671870125,7526962673,2107716455,1224693580,,,,1685160700,3860625000,5470122936,6734775548,10467973520,4405049124,1696234873,1440400000,,,,,,,,4405049124,322.6679,-12.9314,1167.7475,94.6924,39.2992,25.9763,63.2554,46.2221,86.1245,52.2293,55.537,50.7373,,,,43.8001,3575.1478,450.5694,19.2332,49.6701,170.4683,103.2128,104.1452,,,,,,,,66.0294,8.2851,9.5936,1.6989,1.8198,3.8056,2.4623,2.8107,3.723,2.3812,3.2189,3.1334,2.8289,,,,4.3326,5.6676,4.6706,2.267,2.1163,6.2741,3.565,5.6109,,,,,,,,2.4302,14.3905,2.3076,1.439,1.5492,3.6827,2.2201,4.2433,2.8824,0.5868,2.1592,8.6738,7.1836,,,,2.8206,14.0446,4.3548,3.1494,3.4756,4.3523,22.2902,5.7119,,,,,,,,1.6858
2014/1/24,0.6148,0.8097,7.4627,3.7627,4.531,0.2831,1.6272,1.0401,1.0554,1.8018,0.0526,2.1965,,,,0.5112,0.2254,10.0108,3.5141,0.2933,0,4.0749,1.1733,,,,,,,,0,0.2924,0.6153,2.0719,1.5318,2.2745,1.7001,2.6506,2.6874,2.4553,1.8069,1.6478,3.6834,,,,5.7953,0.9141,8.4357,1.6693,0.6024,,2.4171,0.6941,,,,,,,,,1890872291,2067654512,4443567720,6175145055,14007380000,7277007476,1294242185,2356231464,1689515192,7662583622,2108825779,1251593500,,,,1693774940,3869325000,6017724048,6971444513,10498671390,4405049124,1765354576,1457300000,,,,,,,,4405049124,324.6515,-13.0361,1254.8928,98.2554,41.0799,26.0498,64.2847,46.7029,87.0335,53.1704,55.5662,51.8517,,,,44.024,3583.2045,495.6748,19.909,49.8158,170.4683,107.4187,105.3671,,,,,,,,65.9516,8.336,9.6712,1.8257,1.8882,3.978,2.4693,2.8565,3.7617,2.4064,3.2769,3.135,2.891,,,,4.3547,5.6804,5.1382,2.3466,2.1225,6.2741,3.7103,5.6768,,,,,,,,2.4274,14.479,2.3263,1.5464,1.6075,3.8496,2.2264,4.3124,2.9123,0.593,2.1981,8.6784,7.3414,,,,2.8351,14.0762,4.7908,3.2601,3.4858,4.3523,23.1985,5.7789,,,,,,,,1.6838
2014/1/27,-1.0183,-0.2677,-1.9841,0,0.6844,3.4444,0.0728,0.8824,-0.3916,0.3933,2.3146,1.4925,,,,0.1907,0,5.3816,-0.2214,2.4854,0,-1.4815,0,,,,,,,,0,0.2475,0.4203,0.9433,1.6601,1.3062,2.5749,1.9875,3.129,1.6563,1.3173,2.8795,4.8356,,,,5.7213,,9.6273,0.6953,0.7483,,1.0834,0.3785,,,,,,,,,1871616973,2062118623,4355401694,6175145055,14103248000,7527655390,1295184138,2377021741,1682898292,7692721611,2157636055,1270274000,,,,1697005280,3869325000,6341574168,6956009580,10759603281,4405049124,1739201174,1457300000,,,,,,,,4405049124,321.3455,-13.0012,1229.9941,98.2554,41.361,26.9471,64.3315,47.115,86.6926,53.3795,56.8524,52.6256,,,,44.1079,3869.1256,522.3501,19.865,51.0539,170.4683,105.8273,105.3671,,,,,,,,65.9376,8.2511,9.6453,1.7895,1.8882,4.0052,2.5543,2.8586,3.7949,2.3969,3.2897,3.2076,2.9342,,,,4.363,6.1337,5.4147,2.3414,2.1752,6.2741,3.6553,5.6768,,,,,,,,2.4268,14.3316,2.3201,1.5158,1.6075,3.8759,2.3031,4.3155,2.938,0.5907,2.2068,8.8792,7.4509,,,,2.8405,15.1994,5.0486,3.2528,3.5724,4.3523,22.8548,5.7789,,,,,,,,1.6835
