ÈÕÆÚ,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH
2014/1/2,0.5057,2.1994,-0.8794,-0.2635,0.1401,0,1,0.9259,3.9648,,2.4,6.1883,-0.676,0,0,-1.0359,-0.501,-0.8547,0,-2.2026,-0.8621,0.8251,0.2356,-2.3403,-0.0702,-1.3472,,,,-0.7833,2.3727,0.5142,0.7064,0.3959,0.2995,,0.4315,0.4394,6.3693,,5.4632,6.662,2.6256,,0.2855,0.5515,0.5795,0.8059,,2.055,0.6597,3.2465,0.5657,0.9255,0.5306,2.2492,,,,0.1766,3461582012,3705814855,5938545423,996869522.6,2055905280,2864157556,1533354924,4059247200,558761152,,570240000,420134822.4,1254374603,2683617552,1899215775,6277980299,2403060000,2599212000,1229760000,9078948908,1895043876,2080855511,12673809461,14909516659,6462820839,4325152551,,,,1895043876,9.587,830.6069,30.6115,419.5656,208.8358,11.613,239.6354,1753.3397,21.2366,,-93.7932,48.7653,56.5555,104.9495,36.7408,10.32,22.4475,321.5524,128.0146,25.8198,38.9872,235.7042,30.6905,68.1055,23.1276,26.4721,,,,15.7144,1.7829,4.7075,2.7308,6.0578,2.8963,1.3438,1.482,2.267,1.5145,,3.1968,2.2675,3.345,3.3134,4.4826,1.4417,2.4125,3.4274,2.4587,2.6027,10.0692,3.9672,5.1893,4.8882,7.4778,2.3999,,,,4.0586,1.5825,7.687,11.5082,89.9679,1.2654,0.6509,0.9791,3.0847,0.4285,,23.185,1.2001,17.6313,4.4366,4.8887,0.5813,2.0398,3.0131,9.9911,15.1518,14.0457,18.9436,4.8527,63.5406,7.7201,3.6635,,,,5.6613
2014/1/3,-1.6352,0.8608,-1.6477,0.6605,0.5594,0,-1.2376,-0.8028,-0.4237,,6.1632,-1.6047,1.5707,0,0.3396,-0.8052,-3.2226,1.9704,0,-3.5135,-2.7826,3.437,-1.8214,0,-0.632,-2.7311,,,,-1.0526,2.6923,1.3373,0.6896,0.3234,0.2745,,0.7053,0.4863,3.4278,,16.5407,6.5421,3.9941,,0.3953,0.6845,0.7522,1.4495,,2.5729,0.7905,3.9953,0.9992,0.755,0.6566,3.1562,,,,0.2186,3404977526,3737715701,5840698667,1003453866,2067406848,2864157556,1514377759,4026661500,556393520,,605385000,413392794,1274076822,2683617552,1905664725,6227432953,2325620000,2650428000,1229760000,8759958811,1842312220,2152374276,12442970393,14909516659,6421974359,4207028637,,,,1842312220,9.4303,837.7571,30.1071,422.3368,210.0041,11.613,236.6696,1739.2647,21.1466,,-99.5739,47.9827,57.4438,104.9495,36.8655,10.2369,21.7241,327.8884,128.0146,24.9126,37.9024,243.8053,30.1315,68.1055,22.9814,25.7492,,,,15.5614,1.7538,4.748,2.6859,6.0978,2.9125,1.3438,1.4636,2.2488,1.5081,,3.3938,2.2312,3.3975,3.3134,4.4978,1.4301,2.3347,3.4949,2.4587,2.5112,9.7891,4.1036,5.0947,4.8882,7.4305,2.3343,,,,4.0191,1.5566,7.7532,11.3186,90.5621,1.2725,0.6509,0.967,3.06,0.4267,,24.614,1.1809,17.9082,4.4366,4.9053,0.5767,1.9741,3.0725,9.9911,14.6194,13.6549,19.5947,4.7643,63.5406,7.6713,3.5634,,,,5.6062
2014/1/6,-4.0921,-3.4139,-2.5773,0.1312,-2.6426,0,-3.7594,-2.1965,-3.7234,,-5.4783,-2.8326,-6.6495,0,-1.1844,-4.1396,-5.307,-3.2609,0,-6.0691,-3.0411,-0.3165,-4.7876,-6.7898,-1.8375,-4.9676,,,,-2.6596,2.1322,0.5026,0.815,0.4911,0.4049,,0.8106,0.5841,3.8026,,7.0166,3.3263,4.0406,,0.4566,0.8263,1.0962,0.873,,2.6647,1.0945,3.9631,1.6938,0.973,0.7421,2.4328,,,,0.5582,3265643408,3610112320,5690165196,1004770734,2012774400,2864157556,1457446264,3938214600,535676740,,572220000,401682955.2,1189357281,2683617552,1883093400,5969641492,2202200000,2564001000,1229760000,8228308650,1786284836,2145562965,11847256670,13897188019,6303973416,3998040174,,,,1786284836,9.0444,809.1565,29.3312,422.8911,204.4546,11.613,227.7723,1701.0612,20.3592,,-94.1189,46.6235,53.6241,104.9495,36.4289,9.8132,20.5712,317.1964,128.0146,23.4006,36.7497,243.0338,28.6889,63.4813,22.5592,24.47,,,,15.1525,1.682,4.5859,2.6166,6.1058,2.8355,1.3438,1.4086,2.1994,1.4519,,3.2078,2.168,3.1716,3.3134,4.4445,1.3709,2.2108,3.381,2.4587,2.3588,9.4914,4.0906,4.8508,4.5563,7.294,2.2184,,,,3.9135,1.4929,7.4885,11.0268,90.681,1.2388,0.6509,0.9307,2.9928,0.4108,,23.2655,1.1474,16.7174,4.4366,4.8472,0.5528,1.8693,2.9723,9.9911,13.7322,13.2396,19.5327,4.5363,59.2263,7.5303,3.3864,,,,5.4589
2014/1/7,3.0667,1.4728,0.5291,-0.1311,0.5714,0,0.7813,-0.4728,1.326,,0.346,0.9717,1.2148,0,-1.0274,-1.2701,-0.2198,1.1236,0,0.8946,0.738,2.381,0.2514,-3.5886,2.3758,5.3409,,,,0.2732,2.3242,0.4761,0.5119,0.4559,0.2155,,0.5231,0.2951,2.2059,,5.3591,3.1814,2.6463,,0.2928,0.6487,0.5105,0.6254,,2.2831,0.5027,3.5172,0.9365,1.7712,0.8247,3.1178,,,,0.1777,3365789805,3663280395,5720271890,1003453866,2024275968,2864157556,1468832563,3919594200,542779636,,574200000,405586234.8,1203805575,2683617552,1863746550,5893820474,2197360000,2592810000,1229760000,8301921749,1799467750,2196647798,11877042356,13398467292,6453743843,4211571865,,,,1799467750,9.3217,821.0734,29.4863,422.3368,205.6229,11.613,229.5517,1693.0184,20.6292,,-94.4445,47.0766,54.2755,104.9495,36.0546,9.6885,20.526,320.7604,128.0146,23.61,37.0209,248.8203,28.7611,61.2032,23.0951,25.777,,,,15.1897,1.7336,4.6535,2.6305,6.0978,2.8517,1.3438,1.4196,2.189,1.4712,,3.2189,2.189,3.2101,3.3134,4.3989,1.3535,2.206,3.419,2.4587,2.3799,9.5614,4.188,4.863,4.3928,7.4673,2.3369,,,,3.9231,1.5387,7.5988,11.0852,90.5621,1.2459,0.6509,0.9379,2.9786,0.4163,,23.346,1.1586,16.9205,4.4366,4.7974,0.5458,1.8652,3.0057,9.9911,13.855,13.3373,19.9978,4.5477,57.1009,7.7092,3.5673,,,,5.4723
2014/1/8,-2.0699,0.1451,-1.3158,-0.3937,1.1364,0,-1.0336,0.5938,0,,0.8621,2.0122,3.1097,0,-0.519,-0.6003,-0.1101,0,0,-0.3941,-2.0147,0,1.442,-2.1667,0.4923,-1.4024,,,,0.2725,1.7102,0.426,0.7675,0.8722,0.2326,,0.4222,0.3758,2.2186,,5.772,4.4228,3.9759,,0.3577,0.5841,0.6288,0.7763,,1.6468,0.4873,3.2963,0.9698,0.963,0.5521,2.107,,,,0.1094,3296122746,3668597203,5645005155,999503259.8,2047279104,2864157556,1453650831,3942869700,542779636,,579150000,413747637.6,1241239791,2683617552,1854073125,5858437332,2194940000,2592810000,1229760000,8269204816,1763214737,2196647798,12048310052,13108167167,6485513328,4152509908,,,,1763214737,9.1288,822.2651,29.0984,420.6741,207.9596,11.613,227.1791,1703.0719,20.6292,,-95.2587,48.0239,55.9633,104.9495,35.8675,9.6304,20.5034,320.7604,128.0146,23.5169,36.2751,248.8203,29.1758,59.8771,23.2088,25.4155,,,,15.2403,1.6977,4.6602,2.5959,6.0738,2.8841,1.3438,1.4049,2.202,1.4712,,3.2467,2.2331,3.31,3.3134,4.376,1.3454,2.2036,3.419,2.4587,2.3706,9.3688,4.188,4.9331,4.2976,7.504,2.3041,,,,3.9361,1.5068,7.6098,10.9393,90.2056,1.2601,0.6509,0.9282,2.9963,0.4163,,23.5473,1.1819,17.4466,4.4366,4.7725,0.5425,1.8632,3.0057,9.9911,13.8004,13.0686,19.9978,4.6132,55.8637,7.7472,3.5172,,,,5.4905
2014/1/9,-2.1136,-2.1739,-2.4,0.7905,-2.1067,0,-2.611,-2.9516,-3.1625,,-2.5641,-4.0309,0,0,-0.3478,-1.8982,-1.6538,-4.321,0,0.5935,-0.1869,-0.155,-5.1916,-5.1675,-0.6298,-3.2823,,,,-0.5435,1.5703,0.3967,0.7327,1.2242,0.1999,,0.6569,0.4364,2.8593,,6.7481,5.2447,5.883,,0.2249,0.72,0.9279,1.1802,,2.6245,0.6363,2.5421,2.254,1.3652,0.5736,1.8421,,,,0.2186,3226455687,3588845090,5509525031,1007404471,2004148224,2864157556,1415696502,3826492200,525614304,,564300000,397069988.4,1241239791,2683617552,1847624175,5747233172,2158640000,2480775000,1229760000,8318280215,1759919008,2193242142,11422810642,12430800210,6444666848,4016213083,,,,1759919008,8.9358,804.3898,28.4,423.9996,203.5784,11.613,221.2475,1652.8042,19.9768,,-92.8162,46.0881,55.9633,104.9495,35.7427,9.4476,20.1643,306.9004,128.0146,23.6565,36.2073,248.4345,27.6611,56.7829,23.0627,24.5813,,,,15.1649,1.6618,4.5589,2.5336,6.1218,2.8234,1.3438,1.3682,2.137,1.4247,,3.1635,2.1431,3.31,3.3134,4.3608,1.3198,2.1671,3.2712,2.4587,2.3846,9.3513,4.1815,4.677,4.0755,7.4568,2.2285,,,,3.9167,1.475,7.4444,10.6768,90.9187,1.2335,0.6509,0.904,2.9078,0.4031,,22.9435,1.1342,17.4466,4.4366,4.7559,0.5322,1.8324,2.8758,9.9911,13.8823,13.0442,19.9668,4.3737,52.977,7.6984,3.4018,,,,5.4634
2014/1/10,-2.6991,-0.4444,-3.8251,-2.3529,-4.0172,0,2.9491,-2.7981,-1.5766,,-4.386,-3.7534,-3.9153,0,-2.4433,-3.7819,-2.5785,-1.5484,0,-2.6549,-1.3109,0.6211,-2.2164,0.7784,1.338,-1.2443,,,,-1.0929,1.6855,0.3026,0.9407,0.4746,0.4669,,1.7051,0.5472,2.0304,,5.7032,2.6283,3.9787,,0.3903,1.4133,0.9529,0.6626,,1.7846,0.5517,3.3015,1.2471,0.6269,0.6754,1.3434,,,,0.3097,3139371862,3572894667,5298778172,983700836.7,1923637248,2864157556,1457446264,3719424900,517327592,,539550000,382166557.2,1192640984,2683617552,1802481525,5529879587,2102980000,2442363000,1229760000,8097440918,1736848909,2206864764,11169632310,12527566918,6530898305,3966237581,,,,1736848909,8.6947,800.8147,27.3137,414.0231,195.4002,11.613,227.7723,1606.5578,19.6618,,-88.7453,44.3583,53.7722,104.9495,34.8694,9.0903,19.6444,302.1484,128.0146,23.0284,35.7327,249.9776,27.048,57.2249,23.3712,24.2754,,,,14.9744,1.617,4.5386,2.4367,5.9778,2.71,1.3438,1.4086,2.0772,1.4022,,3.0247,2.0626,3.1804,3.3134,4.2543,1.2699,2.1112,3.2206,2.4587,2.3213,9.2287,4.2075,4.5734,4.1072,7.5566,2.2007,,,,3.8674,1.4352,7.4113,10.2684,88.7794,1.184,0.6509,0.9307,2.8265,0.3967,,21.9372,1.0917,16.7635,4.4366,4.6397,0.5121,1.7851,2.8313,9.9911,13.5138,12.8732,20.0908,4.2768,53.3894,7.8014,3.3595,,,,5.3947
2014/1/13,1.2483,0,-2.5568,-0.1339,0.299,0,-2.0833,-1.7522,-0.1144,,0.7339,0.9285,-1.8722,0,-0.1789,-0.457,-2.0713,0.5242,0,-0.7071,-2.4668,-0.1543,-0.0667,0.0594,0.417,-2.291,,,,-0.5525,1.0878,,0.7383,0.286,0.2457,,1.035,0.3158,1.2214,,3.354,2.3886,2.6767,,0.2875,0.6924,0.6043,0.5051,,1.5352,0.513,6.237,1.0845,0.5127,0.9115,1.514,,,,0.179,3178559583,3572894667,5163298048,982383968.1,1929388032,2864157556,1427082800,3654253500,516735684,,543510000,385714993.2,1170311803,2683617552,1799257050,5504605914,2059420000,2455167000,1229760000,8040186285,1694004439,2203459109,11162185888,12535010511,6558129292,3875373032,,,,1694004439,8.8032,800.8147,26.6153,413.4689,195.9844,11.613,223.027,1578.4079,19.6393,,-89.3966,44.7701,52.7654,104.9495,34.807,9.0487,19.2375,303.7324,128.0146,22.8656,34.8512,249.5918,27.03,57.2589,23.4687,23.7193,,,,14.8775,1.6372,4.5386,2.3743,5.9698,2.7181,1.3438,1.3793,2.0408,1.4006,,3.0469,2.0818,3.1208,3.3134,4.2466,1.2641,2.0675,3.2375,2.4587,2.3049,9.001,4.201,4.5703,4.1097,7.5881,2.1503,,,,3.8424,1.4531,7.4113,10.0058,88.6606,1.1875,0.6509,0.9113,2.777,0.3963,,22.0982,1.1018,16.4497,4.4366,4.6314,0.5097,1.7481,2.8461,9.9911,13.4182,12.5556,20.0598,4.2739,53.4211,7.8339,3.2825,,,,5.3598
2014/1/14,2.3288,0,2.3324,2.2788,1.3413,0,1.5957,1.2739,3.4364,,7.9235,5.8878,3.7037,0,1.4337,1.4692,-1.4101,0.5215,0,2.7467,3.1128,2.473,2.8686,2.019,3.1834,2.3447,,,,1.3889,1.5166,,0.5846,0.1661,0.1821,,0.4932,0.375,1.8983,,10.3309,5.4401,3.5676,,0.2308,0.6579,4.2816,0.7062,,1.6694,0.49,15.6292,1.2275,0.3879,1.0499,1.2505,,,,0.1305,3252580834,3572894667,5283724825,1004770734,1955266560,2864157556,1449855398,3700804500,534492924,,586575000,408424983.6,1213656684,2683617552,1825052850,5585481667,2030380000,2467971000,1229760000,8261025583,1746736094,2257949597,11482382015,12788092671,6766900190,3966237581,,,,1746736094,9.0082,800.8147,27.2361,422.8911,198.6131,11.613,226.5859,1598.515,20.3142,,-96.48,47.4061,54.7197,104.9495,35.3061,9.1817,18.9662,305.3164,128.0146,23.4937,35.9361,255.7641,27.8054,58.415,24.2158,24.2754,,,,15.0792,1.6753,4.5386,2.4297,6.1058,2.7545,1.3438,1.4013,2.0668,1.4487,,3.2883,2.2043,3.2364,3.3134,4.3075,1.2827,2.0383,3.2543,2.4587,2.3682,9.2812,4.3048,4.7014,4.1926,7.8296,2.2007,,,,3.8945,1.4869,7.4113,10.2392,90.681,1.2034,0.6509,0.9258,2.8123,0.4099,,23.8492,1.1667,17.0589,4.4366,4.6978,0.5172,1.7235,2.861,9.9911,13.7868,12.9465,20.5559,4.3965,54.4997,8.0833,3.3595,,,,5.4325
2014/1/15,0.4016,0,0.7123,2.3591,1.9118,0,0.2618,1.0063,2.8793,,2.9536,6.8636,2.1645,0,1.9435,0.0905,0.4768,9.987,0,0.297,0.1887,-1.3575,0.8431,-0.7567,0.3353,1.26,,,,0,1.2779,,0.4956,0.5502,0.4126,,0.3919,0.4913,2.4299,,10.9054,11.0278,3.9108,,0.2338,0.5305,1.7135,2.4325,,1.5723,0.4317,9.2757,1.1682,0.4995,0.786,1.3165,,,,0.0529,3265643408,3572894667,5321358193,1028474369,1992646656,2864157556,1453650831,3738045300,549882532,,603900000,436457628,1239926309,2683617552,1860522075,5590536401,2040060000,2714448000,1229760000,8285563282,1750031823,2227298697,11579185495,12691325963,6789592679,4016213083,,,,1750031823,9.0444,800.8147,27.4301,432.8675,202.4101,11.613,227.1791,1614.6007,20.8991,,-99.3296,50.6598,55.9041,104.9495,35.9922,9.19,19.0566,335.8084,128.0146,23.5634,36.0039,252.2922,28.0398,57.973,24.297,24.5813,,,,15.0978,1.682,4.5386,2.447,6.2498,2.8072,1.3438,1.4049,2.0876,1.4904,,3.3854,2.3556,3.3065,3.3134,4.3912,1.2838,2.0481,3.5793,2.4587,2.3752,9.2987,4.2464,4.7411,4.1609,7.8559,2.2285,,,,3.8993,1.4929,7.4113,10.3121,92.8203,1.2264,0.6509,0.9282,2.8406,0.4217,,24.5536,1.2468,17.4282,4.4366,4.7891,0.5177,1.7317,3.1467,9.9911,13.8277,12.9709,20.2768,4.4336,54.0873,8.1104,3.4018,,,,5.4392
2014/1/16,1.2,0,0.5658,-0.7682,0,0,0,-1.1208,-0.7535,,-0.8197,-1.2195,-1.536,0,-1.3865,0.2712,1.1862,2.1226,0,0.9872,0.1883,-0.6116,0.1929,0.2346,0.2005,-0.1131,,,,-0.274,1.8819,,0.5121,0.3271,0.2046,,0.4418,0.3883,1.6005,,7.9545,5.8238,2.8132,,0.2239,0.4907,1.2224,7.1488,,2.1982,0.5805,7.7653,0.7075,0.5744,0.6732,1.5421,,,,0.0968,3304831128,3572894667,5351464887,1020573157,1992646656,2864157556,1453650831,3696149400,545739176,,598950000,431134974,1220880831,2683617552,1834726275,5605700605,2064260000,2772066000,1229760000,8367355615,1753327551,2213676075,11601524759,12721100334,6803208172,4011669856,,,,1753327551,9.1529,800.8147,27.5853,429.542,202.4101,11.613,227.1791,1596.5043,20.7417,,-98.5154,50.042,55.0454,104.9495,35.4932,9.2149,19.2827,342.9364,128.0146,23.7961,36.0717,250.7491,28.0939,58.109,24.3457,24.5535,,,,15.0712,1.7022,4.5386,2.4609,6.2018,2.8072,1.3438,1.4049,2.0642,1.4792,,3.3577,2.3269,3.2557,3.3134,4.3304,1.2873,2.0724,3.6553,2.4587,2.3987,9.3162,4.2204,4.7502,4.1707,7.8716,2.2259,,,,3.8924,1.5108,7.4113,10.3705,92.1072,1.2264,0.6509,0.9282,2.8088,0.4185,,24.3523,1.2316,17.1605,4.4366,4.7227,0.5191,1.7523,3.2135,9.9911,13.9642,12.9953,20.1528,4.4422,54.2141,8.1267,3.3979,,,,5.4296
2014/1/17,10.0132,0,-2.1097,-1.8065,-0.5772,0,-1.5666,-3.4005,0.5423,,3.719,1.7284,1.1296,0,-2.2847,10.009,-2.2274,-1.8476,0,-3.2258,-2.0677,1.2308,0.2567,-7.3727,-2.535,0.7928,,,,-0.5495,6.482,,0.593,0.1756,0.2359,,0.4115,0.4238,2.0911,,10.6152,6.0465,2.7896,,0.3146,4.2679,0.8614,2.9713,,1.7953,0.3356,10.2341,1.1533,1.1907,0.5764,2.4043,,,,0.0622,3635749660,3572894667,5238564784,1002136997,1981145088,2864157556,1430878233,3570461700,548698716,,621225000,438586689.6,1234672384,2683617552,1792808100,6166776139,2018280000,2720850000,1229760000,8097440918,1717074538,2240921319,11631310445,11783207624,6630745257,4043472448,,,,1717074538,10.0694,800.8147,27.0033,421.7826,201.2418,11.613,223.6202,1542.2151,20.8542,,-102.1792,50.907,55.6672,104.9495,34.6823,10.1372,18.8532,336.6004,128.0146,23.0284,35.3258,253.8353,28.166,53.8248,23.7285,24.7481,,,,14.9825,1.8726,4.5386,2.409,6.0898,2.791,1.3438,1.3829,1.994,1.4872,,3.4826,2.3671,3.2924,3.3134,4.2314,1.4162,2.0262,3.5878,2.4587,2.3213,9.1236,4.2724,4.7624,3.8632,7.6721,2.2436,,,,3.8695,1.6621,7.4113,10.1517,90.4433,1.2194,0.6509,0.9137,2.7133,0.4208,,25.258,1.2528,17.3543,4.4366,4.6148,0.571,1.7132,3.1541,9.9911,13.5138,12.7266,20.4008,4.4536,50.2171,7.9206,3.4249,,,,5.3977
2014/1/20,0.9581,0,-0.431,0.1314,2.0319,0,-0.5305,2.8683,1.1866,,1.3546,-1.0518,-2.8191,0,1.4388,0.3279,-0.5995,-4.5882,0,-0.202,1.7274,2.5836,-1.4725,-2.4637,0.0684,1.4607,,,,0.2762,7.9435,,0.376,0.2729,0.5915,,0.2341,0.726,2.9339,,8.677,3.3097,3.0136,,0.3139,2.6522,0.5114,2.5643,,0.9951,0.3833,8.9281,0.8842,0.9661,0.459,2.1541,,,,0.1113,3670583190,3572894667,5215984763,1003453866,2021400576,2864157556,1423287368,3672873900,555209704,,629640000,433973722.8,1199865131,2683617552,1818603900,6186995077,2006180000,2596011000,1229760000,8081082451,1746736094,2298817463,11460042750,11492907499,6635283754,4102534405,,,,1746736094,10.1659,800.8147,26.8869,422.3368,205.3309,11.613,222.4338,1586.4507,21.1016,,-103.5633,50.3715,54.0979,104.9495,35.1813,10.1705,18.7402,321.1564,128.0146,22.9819,35.9361,260.3933,27.7513,52.4987,23.7448,25.1096,,,,15.0342,1.8906,4.5386,2.3986,6.0978,2.8477,1.3438,1.3756,2.0512,1.5049,,3.5297,2.3422,3.1996,3.3134,4.2923,1.4208,2.0141,3.4232,2.4587,2.3166,9.2812,4.3828,4.6923,3.768,7.6773,2.2764,,,,3.8829,1.678,7.4113,10.1079,90.5621,1.2441,0.6509,0.9088,2.7911,0.4258,,25.6001,1.2397,16.8651,4.4366,4.6812,0.5729,1.703,3.0094,9.9911,13.4865,12.9465,20.9279,4.388,48.9799,7.9261,3.4749,,,,5.4163
2014/1/21,0.1186,0,2.3088,-0.2625,-0.7112,0,0.8,0,0.8529,,0.4717,2.6165,3.3935,0,1.5957,-0.817,1.93,1.233,0,1.417,1.6981,-0.1481,1.1696,1.3601,0.2736,0.6645,,,,1.3774,5.3951,,0.5351,0.2672,0.718,,0.376,0.37,3.0032,,7.0091,5.7854,2.4991,,0.2266,1.2909,0.771,2.0181,,1.2879,0.508,7.2488,0.7337,0.5386,0.517,1.934,,,,0.1442,3674937381,3572894667,5336411540,1000820128,2007023616,2864157556,1434673666,3672873900,559944968,,632610000,445328718,1240583050,2683617552,1847624175,6136447732,2044900000,2628021000,1229760000,8195591717,1776397651,2295411807,11594078338,11649222951,6653437745,4129793770,,,,1776397651,10.1779,800.8147,27.5077,421.2283,203.8705,11.613,224.2133,1586.4507,21.2816,,-104.0518,51.6895,55.9337,104.9495,35.7427,10.0874,19.1019,325.1164,128.0146,23.3076,36.5463,260.0076,28.0758,53.2127,23.8098,25.2764,,,,15.2371,1.8928,4.5386,2.454,6.0818,2.8274,1.3438,1.3866,2.0512,1.5177,,3.5464,2.4035,3.3082,3.3134,4.3608,1.4092,2.0529,3.4654,2.4587,2.3495,9.4388,4.3763,4.7472,3.8193,7.6983,2.2915,,,,3.9353,1.68,7.4113,10.3413,90.3244,1.2353,0.6509,0.9161,2.7911,0.4294,,25.7209,1.2721,17.4374,4.4366,4.7559,0.5682,1.7358,3.0465,9.9911,13.6776,13.1663,20.8969,4.4393,49.6461,7.9478,3.498,,,,5.4894
2014/1/22,0.7109,0,3.6671,2.5,0.5731,0,2.1164,3.0418,0.74,,0.4695,-0.0797,-1.6411,0,1.5707,1.4003,3.3136,2.4361,0,5.6886,3.3395,1.0386,2.6975,4.0895,4.0246,1.5402,,,,2.7174,5.536,,1.1702,0.9003,0.4333,,0.7994,0.8149,3.9741,,6.4047,6.8651,7.587,,0.3003,1.6073,1.6422,2.1255,,4.093,1.07,11.2985,1.0645,0.802,1.3244,2.5447,,,,0.5351,3701062529,3572894667,5532105052,1025840632,2018525184,2864157556,1465037130,3784596300,564088324,,635580000,444973874.4,1220224091,2683617552,1876644450,6222378219,2112660000,2692041000,1229760000,8661808012,1835720763,2319251396,11906828042,12125612899,6921209115,4193398955,,,,1835720763,10.2503,800.8147,28.5164,431.759,205.0388,11.613,228.9586,1634.7078,21.4391,,-104.5403,51.6483,55.0158,104.9495,36.3041,10.2286,19.7348,333.0364,128.0146,24.6335,37.7668,262.7079,28.8332,55.3889,24.768,25.6657,,,,15.6565,1.9063,4.5386,2.5439,6.2338,2.8436,1.3438,1.4159,2.1136,1.5289,,3.563,2.4016,3.2539,3.3134,4.4293,1.4289,2.121,3.5498,2.4587,2.4831,9.754,4.4217,4.8752,3.9755,8.0082,2.3268,,,,4.0436,1.6919,7.4113,10.7205,92.5826,1.2424,0.6509,0.9355,2.876,0.4326,,25.8417,1.2711,17.1512,4.4366,4.8306,0.5762,1.7933,3.1207,9.9911,14.4556,13.606,21.1139,4.5591,51.6763,8.2676,3.5519,,,,5.6405
2014/1/23,0.9412,0,-0.9524,1.1553,0,0,0.5181,-1.23,7.8699,,0.2336,0.8772,3.1216,0,-0.6873,-0.0812,0.6873,0.1189,0,0.2833,-0.7181,0,2.0013,2.3327,0,-0.5417,,,,-0.2646,6.3083,,0.8485,2.3193,0.5914,,0.5295,0.6125,13.9017,,5.2987,4.8621,6.9817,,0.3751,1.4024,1.1503,2.2142,,3.55,0.5302,13.4233,1.3461,0.7886,1.7068,2.4444,,,,0.2132,3735896058,3572894667,5479418337,1037692449,2018525184,2864157556,1472627996,3738045300,608481424,,637065000,448877154,1258315047,2683617552,1863746550,6217323484,2127180000,2695242000,1229760000,8686345712,1822537849,2319251396,12145113532,12408469431,6921209115,4170682817,,,,1822537849,10.3468,800.8147,28.2448,436.7473,205.0388,11.613,230.1449,1614.6007,23.1263,,-104.7846,52.1014,56.7332,104.9495,36.0546,10.2203,19.8705,333.4324,128.0146,24.7032,37.4956,262.7079,29.4102,56.6809,24.768,25.5267,,,,15.6202,1.9242,4.5386,2.5197,6.3059,2.8436,1.3438,1.4233,2.0876,1.6493,,3.5714,2.4227,3.3555,3.3134,4.3989,1.4278,2.1355,3.554,2.4587,2.4901,9.684,4.4217,4.9728,4.0682,8.0082,2.3142,,,,4.0342,1.7079,7.4113,10.6184,93.6522,1.2424,0.6509,0.9404,2.8406,0.4666,,25.902,1.2822,17.6866,4.4366,4.7974,0.5757,1.8057,3.1244,9.9911,14.4966,13.5083,21.1139,4.6503,52.8818,8.2676,3.5326,,,,5.6274
