ÈÕÆÚ,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH
2014/1/2,0.64,0,-0.188,4.1063,-0.8487,2.0202,0,-4.3034,1.0622,3.4483,,,7.4121,-1.1969,2.964,2.2727,0,2.6353,10,2.0518,2.3121,2.5014,,,,,2.3297,0,1.8337,-1.2931,,,,1.8734,,1.5475,13.3865,1.1291,0.5196,,1.8426,2.1663,11.1146,,,4.5735,0.6482,24.3032,3.6556,,1.3306,7.7238,3.7602,6.6055,6.3966,,,,,2.8999,,1.8606,0.9512,,,,313015534.8,2072860979,1030475183,3882475519,2563936241,1683303487,705212869.7,11648887430,519480000,688644000,,,1657605600,13521142915,812423724,543450960,3222221987,386944525,1409362625,340200000,1905626250,1059174000,,,,,1523654139,2462694229,3358656000,1535535263,,,,608.323,167.1002,-12.9808,619.4383,94.0478,-9.8733,-57.694,46.5055,55.1985,43.9513,,,54.644,54.1251,66.8132,81.6332,79.5739,-36.0945,175.1419,718.4165,44.427,49.3248,,,,,-19.2093,101.3953,19.2765,39.1913,,,,7.6056,5.594,3.2843,12.6177,3.482,3.8289,2.9828,8.9406,2.3136,3.6782,,,2.7298,6.3068,3.5324,1.8184,8.6776,4.273,4.9996,1.9326,5.5119,6.1447,,,,,5.8249,-97.3126,2.1366,2.1633,,,,7.187,0.9209,1.1323,9.501,2.8598,2.9936,0.3964,2.3919,5.2539,4.4768,,,4.7137,6.6304,3.3392,1.7917,2.878,7.5164,4.8651,3.978,10.5822,5.8883,,,,,3.6283,799.4893,1.0814,1.6912,,,
2014/1/3,-0.6359,0,2.0716,10.0232,0.5706,-0.495,0,7.149,1.5015,-2.0721,,,0.8772,6.9363,-4.8663,-1.6239,0,1.0409,3.3058,-1.4815,-1.0923,-0.2318,,,,,-3.3275,0,1.2005,-2.4017,,,,1.5356,,3.225,11.6499,1.6663,0.3478,,1.7496,5.2608,13.3254,,,5.9346,1.0849,17.7815,2.7833,,1.5338,9.7164,3.0387,7.5914,6.1012,,,,,1.9456,,2.3262,1.0713,,,,311024975,2072860979,1051822127,4271623878,2578566405,1674970302,705212869.7,12481670389,527280000,674374800,,,1672146000,14459010389,772888368,534625688,3222221987,390972400,1455953125,335160000,1884811500,1056719200,,,,,1472954614,2462694229,3398976000,1498655595,,,,604.4545,167.1002,-13.2497,681.5258,94.5845,-9.8244,-57.694,49.8301,56.0273,43.0406,,,55.1233,57.8794,63.5618,80.3076,79.5739,-36.4702,180.9317,707.7733,43.9418,49.2105,,,,,-18.5701,101.3953,19.5079,38.25,,,,7.5573,5.594,3.3523,13.8824,3.5018,3.81,2.9828,9.5798,2.3484,3.602,,,2.7537,6.7443,3.3605,1.7888,8.6776,4.3175,5.1649,1.904,5.4517,6.1305,,,,,5.6311,-97.3126,2.1623,2.1114,,,,7.1413,0.9209,1.1558,10.4533,2.8762,2.9788,0.3964,2.5629,5.3328,4.384,,,4.7551,7.0903,3.1767,1.7626,2.878,7.5946,5.0259,3.9191,10.4667,5.8746,,,,,3.5075,799.4893,1.0944,1.6506,,,
2014/1/6,-2.56,0,-1.476,3.0789,0,-1.4925,0,0.3497,-5.0296,0,,,0.8696,1.4069,-7.5648,-2.8671,0,-1.717,-2.76,-3.2223,-8.2445,-6.9691,,,,,-4.3478,0,-4.6263,-3.3557,,,,1.1747,,2.607,14.2572,1.6678,0.5269,,1.3814,3.6997,11.3163,,,4.0044,1.1707,13.3931,2.7461,,1.0467,6.9354,2.1665,9.8954,8.5861,,,,,1.7203,,1.4026,0.9988,,,,303062735.6,2072860979,1036297077,4403141610,2578566405,1649970745,705212869.7,12525324334,500760000,674374800,,,1686686400,14662435166,714420588,519297584,3222221987,384259275,1415768819,324360000,1729418625,983075200,,,,,1408913109,2462694229,3241728000,1448365139,,,,588.9805,167.1002,-13.0542,702.5091,94.5845,-9.6778,-57.694,50.0044,53.2094,43.0406,,,55.6026,58.6937,58.7535,78.0051,79.5739,-35.844,175.938,684.9665,40.319,45.7809,,,,,-17.7627,101.3953,18.6054,36.9665,,,,7.3638,5.594,3.3028,14.3098,3.5018,3.7531,2.9828,9.6133,2.2303,3.602,,,2.7776,6.8391,3.1063,1.7375,8.6776,4.2434,5.0223,1.8427,5.0022,5.7032,,,,,5.3863,-97.3126,2.0623,2.0405,,,,6.9585,0.9209,1.1387,10.7752,2.8762,2.9343,0.3964,2.5719,5.0646,4.384,,,4.7964,7.1901,2.9364,1.7121,2.878,7.4642,4.8872,3.7928,9.6037,5.4652,,,,,3.355,799.4893,1.0437,1.5952,,,
2014/1/7,-2.0525,0,0.5618,-3.3552,0.0709,1.2626,0,0.2681,3.5826,3.9558,,,1.7241,-1.027,2.3383,4.5617,0,1.188,1.9745,1.3319,4.2332,1.9389,,,,,2.6515,0,0.4975,0.463,,,,2.2558,,1.3643,8.8733,1.0164,0.6407,,1.0118,3.0133,10.4135,,,3.5494,0.8571,10.8057,3.685,,1.5667,5.9576,1.8163,7.8701,4.7907,,,,,1.8749,,1.1628,0.4458,,,,296842236.1,2072860979,1042118971,4255409363,2580395176,1670803709,705212869.7,12558904292,518700000,701052000,,,1715767200,14511847994,731125668,542986472,3222221987,388824200,1443723119,365200000,1802629125,1002136000,,,,,1446270654,2462694229,3257856000,1455070533,,,,576.8914,167.1002,-13.1275,678.9388,94.6515,-9.7999,-57.694,50.1385,55.1156,44.7432,,,56.5613,58.0909,60.1273,81.5635,79.5739,-36.2698,179.4119,694.0892,42.0258,46.6686,,,,,-18.2337,101.3953,18.698,37.1376,,,,7.2126,5.594,3.3214,13.8297,3.5043,3.8005,2.9828,9.639,2.3102,3.7445,,,2.8255,6.7689,3.1789,1.8168,8.6776,4.2938,5.1215,1.8672,5.214,5.8138,,,,,5.5291,-97.3126,2.0725,2.05,,,,6.8157,0.9209,1.1451,10.4137,2.8782,2.9714,0.3964,2.5788,5.2461,4.5574,,,4.8791,7.1162,3.005,1.7902,2.878,7.5529,4.9837,3.8433,10.0103,5.5712,,,,,3.444,799.4893,1.0489,1.6026,,,
2014/1/8,6.8734,0,1.4898,4.8688,2.4096,1.7456,0,1.8182,4.8872,3.8053,,,4.4633,6.5902,-0.0762,0.941,0,-1.5884,-1.7346,0.4381,4.6188,3.5735,,,,,-0.738,0,0.1238,-1.1521,,,,1.9095,,2.3645,10.8311,2.2128,0.6851,,1.6765,13.9838,23.7994,,,6.9106,1.8215,10.8888,4.0941,,2.1898,5.6845,1.8603,11.706,8.6949,,,,,2.7957,,1.0399,0.507,,,,317245474.5,2072860979,1057644020,4462594831,2642573373,1699969858,705212869.7,12787248006,544050000,727729200,,,1792346640,15468208630,730568832,548095840,3222221987,382648125,1418680725,366800000,1885888125,1037947200,,,,,1435597070,2462694229,3261888000,1438307047,,,,616.5436,167.1002,-13.3231,711.9947,96.9323,-9.971,-57.694,51.0501,57.8093,46.4458,,,59.0858,61.9192,60.0815,82.3309,79.5739,-35.6937,176.2998,697.1301,43.9669,48.3363,,,,,-18.0991,101.3953,18.7212,36.7098,,,,7.7084,5.594,3.3709,14.5031,3.5888,3.8668,2.9828,9.8143,2.4231,3.887,,,2.9517,7.215,3.1765,1.8339,8.6776,4.2256,5.0327,1.8754,5.4548,6.0216,,,,,5.4883,-97.3126,2.0751,2.0264,,,,7.2841,0.9209,1.1622,10.9207,2.9476,3.0232,0.3964,2.6257,5.5024,4.7309,,,5.0969,7.5852,3.0027,1.807,2.878,7.4329,4.8972,3.8601,10.4726,5.7703,,,,,3.4186,799.4893,1.0502,1.5841,,,
2014/1/9,-3.5294,0,10.0917,-2.9875,-3.2526,-3.9216,0,0.9454,-1.362,-6.1381,,,-8.0584,-0.3587,3.8872,-2.7119,0,-0.7018,10.0164,-3.7077,-3.8059,-3.2137,,,,,-3.9033,0,-0.7417,-2.0979,,,,2.7585,,13.799,9.6283,1.6371,0.4928,,1.7255,8.8311,15.5792,,,5.7278,1.0654,14.4172,5.1012,,0.8577,8.5763,1.8676,8.3977,6.568,,,,,2.066,,1.2903,0.4731,,,,306048575.4,2072860979,1164378738,4329275486,2556621159,1633304374,705212869.7,12908135855,536640000,683060400,,,1647912000,15412729145,758967468,533232224,3222221987,379962875,1560781750,353200000,1814113125,1004590800,,,,,1379560753,2462694229,3237696000,1408132774,,,,594.7833,167.1002,-14.6676,690.724,93.7795,-9.58,-57.694,51.5327,57.0219,43.5949,,,54.3244,61.6971,62.417,80.0982,79.5739,-35.4432,193.9588,671.2823,42.2935,46.7829,,,,,-17.3926,101.3953,18.5823,35.9396,,,,7.4363,5.594,3.7111,14.0698,3.472,3.7152,2.9828,9.9071,2.3901,3.6484,,,2.7138,7.1891,3.3,1.7842,8.6776,4.1959,5.5368,1.8058,5.2472,5.8281,,,,,5.2741,-97.3126,2.0597,1.9838,,,,7.027,0.9209,1.2795,10.5944,2.8517,2.9047,0.3964,2.6505,5.4275,4.4405,,,4.6861,7.558,3.1195,1.758,2.878,7.3808,5.3878,3.717,10.0741,5.5848,,,,,3.2851,799.4893,1.0424,1.5509,,,
2014/1/10,-2.439,0,-3.1667,0,-5.0072,-1.7857,0,-5.307,-4.0698,-4.3597,,,0.1765,-3.3939,-7.2634,-1.5679,0,-5.0883,4.8507,-2.265,-2.3343,1.4518,,,,,-0.3868,0,-5.604,-2.619,,,,1.5947,,11.0028,,1.6654,0.3037,,0.9997,5.5414,7.745,,,3.6364,0.6512,9.0305,2.1572,,0.8258,12.5191,2.5502,6.0861,4.0303,,,,,1.4652,,1.8351,0.583,,,,298583976,2072860979,1127506745,4329275486,2428607224,1604138224,705212869.7,12223104712,514800000,653281200,,,1650820080,14889636864,703840704,524871440,3222221987,360629075,1636491313,345200000,1771765875,1019175200,,,,,1374223961,2462694229,3056256000,1371253106,,,,580.2764,167.1002,-14.2031,690.724,89.0838,-9.4089,-57.694,48.7979,54.7012,41.6943,,,54.4203,59.6032,57.8834,78.8423,79.5739,-33.6397,203.3672,656.0777,41.3063,47.4621,,,,,-17.3253,101.3953,17.541,34.9984,,,,7.255,5.594,3.5935,14.0698,3.2982,3.6488,2.9828,9.3813,2.2928,3.4894,,,2.7186,6.9451,3.0603,1.7562,8.6776,3.9824,5.8053,1.7649,5.1247,5.9127,,,,,5.2537,-97.3126,1.9443,1.9319,,,,6.8557,0.9209,1.239,10.5944,2.7089,2.8528,0.3964,2.5098,5.2066,4.2469,,,4.6944,7.3015,2.8929,1.7305,2.878,7.0052,5.6491,3.6328,9.8389,5.6659,,,,,3.2724,799.4893,0.984,1.5103,,,
2014/1/13,0.8333,0,-3.6145,0,-0.3765,0.7792,0,0.7967,-2.4242,2.5641,,,0.8808,1.2243,1.5032,0.531,0,-2.0849,4.9822,1.3905,10.0061,0.8784,,,,,-1.5534,0,-2.7704,0,,,,0.8346,,6.2813,,1.0023,0.2382,,1.1049,5.7946,6.7604,,,2.3748,1.0973,4.7635,2.977,,1.0821,15.0776,1.4524,13.9208,3.9117,,,,,1.0458,,1.2158,0.3279,,,,301072175.8,2072860979,1086753489,4329275486,2419463372,1616638003,705212869.7,12320486590,502320000,670032000,,,1665360480,15071926598,714420588,527658368,3222221987,353110375,1718024688,350000000,1949050125,1028128000,,,,,1352876792,2462694229,2971584000,1371253106,,,,585.112,167.1002,-13.6898,690.724,88.7484,-9.4822,-57.694,49.1867,53.3751,42.7634,,,54.8996,60.3329,58.7535,79.261,79.5739,-32.9384,213.4994,665.2005,45.4394,47.879,,,,,-17.0562,101.3953,17.055,34.9984,,,,7.3154,5.594,3.4637,14.0698,3.2858,3.6773,2.9828,9.4561,2.2372,3.5788,,,2.7425,7.0302,3.1063,1.7655,8.6776,3.8994,6.0946,1.7895,5.6375,5.9646,,,,,5.1721,-97.3126,1.8904,1.9319,,,,6.9128,0.9209,1.1942,10.5944,2.6987,2.875,0.3964,2.5298,5.0804,4.3558,,,4.7358,7.3909,2.9364,1.7397,2.878,6.8591,5.9305,3.6833,10.8234,5.7157,,,,,3.2216,799.4893,0.9567,1.5103,,,
2014/1/14,0.9091,0,2.6786,0,0.5291,1.0309,0,7.686,3.1832,4.9074,,,2.3283,3.4181,6.781,8.2746,0,3.0418,8.8136,4.5714,1.6572,3.75,,,,,2.1696,0,1.4925,2.2005,,,,1.2536,,5.6629,,1.2696,0.2267,,1.525,3.7519,9.2303,,,3.0127,1.1088,11.0342,13.3145,,1.2528,11.8612,2.6233,11.0601,6.5083,,,,,1.1535,,0.7929,0.38,,,,303809195.6,2072860979,1115862957,4329275486,2432264765,1633304374,705212869.7,13267441406,518310000,702913200,,,1704134880,15587093239,762865320,571320240,3222221987,363851375,1869443813,366000000,1981348875,1066682800,,,,,1382229149,2462694229,3015936000,1401427379,,,,590.4312,167.1002,-14.0565,690.724,89.218,-9.58,-57.694,52.9672,55.0742,44.862,,,56.1778,62.3951,62.7375,85.8195,79.5739,-33.9403,232.3163,695.6097,46.1924,49.6745,,,,,-17.4263,101.3953,17.3095,35.7685,,,,7.3819,5.594,3.5564,14.0698,3.3031,3.7152,2.9828,10.1829,2.3084,3.7545,,,2.8064,7.2704,3.3169,1.9116,8.6776,4.018,6.6317,1.8713,5.7309,6.1883,,,,,5.2843,-97.3126,1.9186,1.9744,,,,6.9756,0.9209,1.2262,10.5944,2.713,2.9047,0.3964,2.7243,5.2421,4.5695,,,4.846,7.6435,3.1355,1.8836,2.878,7.0678,6.4532,3.8517,11.0027,5.93,,,,,3.2915,799.4893,0.971,1.5435,,,
2014/1/15,-0.5733,0,1.913,0,1.5038,0.5102,0,1.2402,3.2355,2.7361,,,3.0717,0.339,0.5839,0,0,3.4686,-4.0187,10.0546,0.2355,-0.5144,,,,,-0.9653,0,0.4011,-0.2392,,,,1.2422,,8.2917,,1.819,0.3747,,0.8036,5.6513,12.2144,,,3.6714,0.7782,11.3484,6.4405,,2.2556,12.1375,2.284,8.2485,4.8316,,,,,1.2523,,0.8722,0.3587,,,,302067455.7,2072860979,1137209901,4329275486,2468840175,1641637559,705212869.7,13431983200,535080000,722145600,,,1756480320,15639930843,767320008,571320240,3222221987,376472050,1794316631,402800000,1986014250,1061195600,,,,,1368887169,2462694229,3028032000,1398074682,,,,587.0462,167.1002,-14.3254,690.724,90.5596,-9.6289,-57.694,53.624,56.8561,46.0894,,,57.9034,62.6066,63.1039,85.8195,79.5739,-35.1176,222.9802,765.5507,46.3012,49.4189,,,,,-17.2581,101.3953,17.379,35.6829,,,,7.3396,5.594,3.6245,14.0698,3.3528,3.7341,2.9828,10.3091,2.3831,3.8572,,,2.8926,7.2951,3.3363,1.9116,8.6776,4.1574,6.3652,2.0594,5.7444,6.1565,,,,,5.2333,-97.3126,1.9263,1.9697,,,,6.9356,0.9209,1.2496,10.5944,2.7538,2.9195,0.3964,2.7581,5.4117,4.6946,,,4.9949,7.6694,3.1538,1.8836,2.878,7.3129,6.1939,4.239,11.0287,5.8995,,,,,3.2597,799.4893,0.9749,1.5398,,,
2014/1/16,0.1647,0,-2.5597,0,0,-0.5076,0,-1.25,0,0.7732,,,1.9868,-0.3378,-4.9347,10,0,3.923,-1.2009,10.0298,1.7347,-1.143,,,,,1.5595,0,0.5326,0.7194,,,,0.8132,,5.4776,,1.5019,0.3058,,0.7707,4.218,12.8693,,,5.3351,0.7035,12.649,37.7692,,2.626,10.6048,15.2362,11.8005,5.1969,,,,,1.4951,,0.9228,0.3445,,,,302565095.7,2072860979,1108100432,4329275486,2468840175,1633304374,705212869.7,13264083410,535080000,727729200,,,1791377280,15587093239,729455160,628452264,3222221987,391240925,1772768525,443200000,2020466250,1049066000,,,,,1390234337,2462694229,3044160000,1408132774,,,,588.0134,167.1002,-13.9587,690.724,90.5596,-9.58,-57.694,52.9537,56.8561,46.4458,,,59.0538,62.3951,59.9899,94.4015,79.5739,-36.4952,220.3024,842.3339,47.1044,48.8541,,,,,-17.5272,101.3953,17.4715,35.9396,,,,7.3517,5.594,3.5317,14.0698,3.3528,3.7152,2.9828,10.1803,2.3831,3.887,,,2.9501,7.2704,3.1717,2.1028,8.6776,4.3205,6.2888,2.266,5.8441,6.0861,,,,,5.3149,-97.3126,1.9366,1.9838,,,,6.9471,0.9209,1.2176,10.5944,2.7538,2.9047,0.3964,2.7236,5.4117,4.7309,,,5.0941,7.6435,2.9982,2.072,2.878,7.5998,6.1195,4.6641,11.22,5.8321,,,,,3.3106,799.4893,0.9801,1.5509,,,
2014/1/17,-0.5757,0,9.9825,9.9875,0,-1.7857,0,0.9114,1.1662,3.6658,,,-4.7619,-1.9492,10,-3.3259,0,-0.4118,-4.7963,7.9422,-0.5861,-1.2251,,,,,-2.4952,0,-3.1788,-1.9048,,,,1.245,,14.7216,3.9534,0.8382,0.2267,,0.9907,4.2863,14.4181,,,4.3373,0.4404,13.9983,19.8249,,1.6103,9.1577,30.7433,21.2922,3.5149,,,,,1.1496,,1.0977,0.2796,,,,300823355.8,2072860979,1218716412,4761662551,2468840175,1604138224,705212869.7,13384971259,541320000,754406400,,,1706073600,15283277015,802400676,607550304,3222221987,389629775,1687740863,478400000,2008623375,1036214400,,,,,1355545188,2462694229,2947392000,1381311197,,,,584.6284,167.1002,-15.3521,759.7101,90.5596,-9.4089,-57.694,53.4364,57.5192,48.1484,,,56.2417,61.1789,65.9889,91.2618,79.5739,-36.3449,209.736,909.234,46.8283,48.2556,,,,,-17.0898,101.3953,16.9161,35.2551,,,,7.3094,5.594,3.8842,15.475,3.3528,3.6488,2.9828,10.2731,2.4109,4.0295,,,2.8096,7.1287,3.4888,2.0328,8.6776,4.3027,5.9871,2.446,5.8098,6.0115,,,,,5.1823,-97.3126,1.875,1.9461,,,,6.9071,0.9209,1.3392,11.6525,2.7538,2.8528,0.3964,2.7484,5.4748,4.9043,,,4.8515,7.4945,3.298,2.0031,2.878,7.5685,5.826,5.0346,11.1542,5.7606,,,,,3.228,799.4893,0.949,1.5214,,,
2014/1/20,-0.9926,0,10.0318,9.9886,7.7778,0.7792,0,-3.0356,1.3689,-1.9737,,,-2.3295,-1.1755,-1.7349,-3.211,0,-1.3784,4.8999,2.7592,-2.5192,-4.4732,,,,,-0.3937,0,-1.9152,0.9709,,,,0.8452,,19.2411,10.3996,3.8395,0.2386,,0.8499,3.9538,9.6966,,,2.8669,1.1163,18.2749,14.3391,,1.2717,13.2499,27.3305,9.0783,5.262,,,,,0.848,,0.5925,0.307,,,,297837516.1,2072860979,1340976180,5237288322,2660861078,1616638003,705212869.7,12978653767,548730000,739516800,,,1666329840,15103629161,788479776,588041808,3222221987,384259275,1770439000,491600000,1958022000,989862000,,,,,1350208396,2462694229,2890944000,1394721985,,,,578.8257,167.1002,-16.8922,835.5949,97.6031,-9.4822,-57.694,51.8142,58.3065,47.1981,,,54.9316,60.4598,64.8441,88.3313,79.5739,-35.844,220.0129,934.3216,45.6486,46.097,,,,,-17.0226,101.3953,16.5922,35.5973,,,,7.2368,5.594,4.2739,17.0207,3.6136,3.6773,2.9828,9.9612,2.4439,3.95,,,2.7441,7.0449,3.4283,1.9676,8.6776,4.2434,6.2805,2.5135,5.6635,5.7426,,,,,5.1619,-97.3126,1.8391,1.965,,,,6.8385,0.9209,1.4735,12.8165,2.968,2.875,0.3964,2.665,5.5498,4.8075,,,4.7385,7.4064,3.2408,1.9387,2.878,7.4642,6.1115,5.1735,10.8732,5.503,,,,,3.2152,799.4893,0.9308,1.5361,,,
2014/1/21,1.086,0,9.9855,10.0103,-3.5739,0,0,4.5019,0,8.8926,,,2.3851,4.6878,1.7655,2.1327,0,6.7785,0.9211,10.0081,5.022,1.8235,,,,,0.7905,0,3.6262,0.9615,,,,0.8299,,12.0753,10.2019,4.1742,0.2625,,0.6722,4.6516,16.2231,,,4.1983,0.8539,17.8353,15.6063,,3.424,9.4781,33.586,10.5664,3.0493,,,,,1.0547,,1.2536,0.2743,,,,301072175.8,2072860979,1474879735,5761557638,2565765012,1616638003,705212869.7,13562945036,548730000,805279200,,,1706073600,15811653057,802400676,600582984,3222221987,410306200,1786745675,540800000,2056353750,1007912000,,,,,1360881980,2462694229,2995776000,1408132774,,,,585.112,167.1002,-18.579,919.2406,94.1149,-9.4822,-57.694,54.1469,58.3065,51.3953,,,56.2417,63.294,65.9889,90.2152,79.5739,-38.2736,222.0394,1027.8298,47.941,46.9376,,,,,-17.1571,101.3953,17.1938,35.9396,,,,7.3154,5.594,4.7007,18.7246,3.4844,3.6773,2.9828,10.4097,2.4439,4.3012,,,2.8096,7.3752,3.4888,2.0095,8.6776,4.531,6.3384,2.765,5.9479,5.8473,,,,,5.2027,-97.3126,1.9058,1.9838,,,,6.9128,0.9209,1.6207,14.0995,2.8619,2.875,0.3964,2.7849,5.5498,5.235,,,4.8515,7.7536,3.298,1.9801,2.878,7.9702,6.1678,5.6913,11.4193,5.6033,,,,,3.2407,799.4893,0.9645,1.5509,,,
2014/1/22,3.8843,0,10,0.469,0.3564,2.3196,0,6.4868,1.6347,-0.2311,,,3.6932,4.7118,-0.4164,0.3094,0,0.4581,-8.7679,9.9852,-0.349,1.8625,,,,,3.1373,0,3.0956,2.381,,,,3.7204,,25.9415,10.3937,2.4733,0.5073,,1.8685,5.7359,15.3909,,,7.6915,1.4179,13.767,12.2139,,1.949,19.3266,32.2775,9.8176,3.1207,,,,,1.4852,,1.8177,0.6125,,,,312766714.9,2072860979,1622367708,5788581830,2574908864,1654137338,705212869.7,14442739936,557700000,803418000,,,1769082000,16556663276,799059660,602440936,3222221987,412185875,1630085119,594800000,2049176250,1026684000,,,,,1403576317,2462694229,3088512000,1441659744,,,,607.8395,167.1002,-20.4369,923.5523,94.4503,-9.7022,-57.694,57.6593,59.2597,51.2765,,,58.3189,66.2763,65.7141,90.4943,79.5739,-38.449,202.5711,1130.4607,47.7737,47.8118,,,,,-17.6954,101.3953,17.7261,36.7953,,,,7.5996,5.594,5.1707,18.8124,3.4969,3.7626,2.9828,11.0849,2.4839,4.2913,,,2.9133,7.7227,3.4743,2.0157,8.6776,4.5518,5.7826,3.0411,5.9271,5.9562,,,,,5.3659,-97.3126,1.9648,2.0311,,,,7.1813,0.9209,1.7827,14.1656,2.8721,2.9417,0.3964,2.9656,5.6405,5.2229,,,5.0307,8.119,3.2843,1.9862,2.878,8.0067,5.627,6.2596,11.3794,5.7077,,,,,3.3423,799.4893,0.9944,1.5878,,,
2014/1/23,-0.1591,0,-1.6746,1.0271,0,0.2519,0,6.7426,-1.049,-1.0039,,,3.8356,3.2073,1.6725,0.2313,0,2.9967,1.6077,10.0202,3.9054,-0.1406,,,,,-0.1901,0,3.2637,-0.2326,,,,2.2109,,16.666,10.4207,3.1766,0.4829,,2.1076,5.1582,12.6855,8.4486,,9.0239,1.7249,16.2956,12.9673,,1.8563,11.9347,32.4705,12.7283,8.1368,,,,,1.2223,,2.9195,0.7534,,,,312269074.9,2072860979,1595198871,5848035051,2574908864,1658303930,705212869.7,15416558718,551850000,795352800,780246937.2,,1836937200,17087681198,812423724,603834400,3222221987,424538025,1656292275,654400000,2129205375,1025240000,,,,,1400907921,2462694229,3189312000,1438307047,,,,606.8724,167.1002,-20.0946,933.0379,94.4503,-9.7266,-57.694,61.547,58.6381,50.7617,37.1156,,60.5557,68.4019,66.8132,90.7036,79.5739,-39.6012,205.8279,1243.7349,49.6395,47.7445,,,,,-17.6618,101.3953,18.3046,36.7098,,,,7.5875,5.594,5.0842,19.0056,3.4969,3.772,2.9828,11.8323,2.4578,4.2482,6.1179,,3.0251,7.9704,3.5324,2.0204,8.6776,4.6882,5.8756,3.3458,6.1586,5.9479,,,,,5.3557,-97.3126,2.0289,2.0264,,,,7.1699,0.9209,1.7529,14.3111,2.8721,2.9491,0.3964,3.1656,5.5813,5.1705,1.9048,,5.2237,8.3794,3.3392,1.9908,2.878,8.2466,5.7174,6.8868,11.8238,5.6996,,,,,3.336,799.4893,1.0269,1.5841,,,
