ÈÕÆÚ,000157.SZ,000425.SZ,000528.SZ,000551.SZ,000584.SZ,000680.SZ,000821.SZ,000852.SZ,000856.SZ,002006.SZ,002009.SZ,002021.SZ,002031.SZ,002073.SZ,002097.SZ,002111.SZ,002192.SZ,002204.SZ,002209.SZ,002278.SZ,002337.SZ,002353.SZ,002366.SZ,002367.SZ,002430.SZ,002459.SZ,002483.SZ,002490.SZ,002509.SZ,002523.SZ,002526.SZ,002529.SZ,002535.SZ,002564.SZ,002595.SZ,002613.SZ,002645.SZ,002651.SZ,002667.SZ,002689.SZ,002690.SZ,002691.SZ,002698.SZ,002722.SZ,002730.SZ,002757.SZ,002774.SZ,002779.SZ,002786.SZ,002796.SZ,002816.SZ,002833.SZ,002837.SZ,002890.SZ,002957.SZ,002960.SZ,300004.SZ,300084.SZ,300097.SZ,300099.SZ,300103.SZ,300151.SZ,300171.SZ,300173.SZ,300195.SZ,300201.SZ,300210.SZ,300216.SZ,300275.SZ,300276.SZ,300281.SZ,300293.SZ,300307.SZ,300362.SZ,300382.SZ,300385.SZ,300411.SZ,300412.SZ,300415.SZ,300442.SZ,300450.SZ,300457.SZ,300461.SZ,300471.SZ,300472.SZ,300480.SZ,300483.SZ,300486.SZ,300499.SZ,300509.SZ,300512.SZ,300521.SZ,300540.SZ,300549.SZ,300551.SZ,300604.SZ,300619.SZ,300669.SZ,300724.SZ,300751.SZ,300756.SZ,300757.SZ,300776.SZ,300786.SZ,600031.SH,600169.SH,600262.SH,600302.SH,600320.SH,600375.SH,600388.SH,600444.SH,600499.SH,600501.SH,600520.SH,600526.SH,600545.SH,600560.SH,600579.SH,600582.SH,600761.SH,600815.SH,600835.SH,600843.SH,600894.SH,600984.SH,601038.SH,601106.SH,601608.SH,601798.SH,603011.SH,603012.SH,603029.SH,603036.SH,603076.SH,603159.SH,603169.SH,603185.SH,603203.SH,603279.SH,603283.SH,603289.SH,603298.SH,603311.SH,603318.SH,603321.SH,603337.SH,603338.SH,603356.SH,603488.SH,603611.SH,603638.SH,603656.SH,603686.SH,603690.SH,603789.SH,603800.SH,603855.SH,603895.SH,603901.SH,603912.SH,603956.SH,603960.SH,603966.SH,688001.SH,688006.SH,688012.SH,688022.SH,900924.SH,900925.SH,900947.SH
2014/1/2,4.4356,2.4129,4.349,9.1763,6.174,3.1641,3.7751,10.1704,5.31,7.1389,12.5116,6.12,2.054,8.3175,4.7397,9.6453,9.1141,4.2698,6.7257,9.34,3.5208,51.3791,4.845,5.3059,7.1185,7.06,6.0439,10.77,2.5384,1.463,1.8961,9.449,5.2895,6.421,9.1208,2.4366,5.0194,5.7363,7.0939,2.7236,14.015,5.9454,10.7807,,,,,,,,,,,,,,18.0024,6.7676,9.3661,4.8568,8.3976,3.3738,10.9955,3.333,15.4699,2.5449,6.5389,5.9126,15.2463,3.6116,3.9256,13.9606,10.4553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9628,3.0014,13.883,4.25,2.8668,10.1202,12.4592,12.1467,9.6105,9.4161,9.34,10.0088,5.9671,8.662,6.46,3.2708,7.144,3.93,15.4945,10.22,10.8596,4.2795,9.2298,2.08,2.1628,11.7555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576,1.4586,0.3365
2014/1/3,4.3862,2.3906,4.2529,8.8923,6.1864,3.1343,3.7552,10.023,5.24,7.2085,12.3061,6.12,2.0338,8.1683,4.7332,9.7583,9.0141,4.3681,6.6661,9.3323,3.5727,51.8278,4.7541,5.2864,7.1088,6.97,6.1392,10.53,2.4937,1.4483,1.8858,9.6884,5.1759,6.7597,8.717,2.5678,4.9175,5.618,6.9684,2.6949,14.0044,5.9454,11.2989,,,,,,,,,,,,,,18.2212,6.7947,9.0129,4.7437,8.5748,3.366,11.4332,3.2934,15.1349,2.7782,6.5785,5.9126,15.1768,3.4906,3.8993,13.5059,10.1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8787,2.8718,13.5844,4.27,2.8349,9.9645,12.11,12.1467,10.256,9.1678,9.31,10.0088,5.836,8.515,6.48,3.1668,7.0091,3.87,14.772,9.76,11.161,4.241,9.0149,2.07,2.1176,11.9532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565,1.4367,0.3295
2014/1/6,4.2463,2.3045,4.0814,8.5593,6.1864,3.0547,3.6459,9.6693,5.26,6.95,11.983,6.12,2.0716,8.2976,4.6628,9.5794,8.6874,4.3091,6.4972,8.6079,3.3616,51.3465,4.5437,5.189,7.1379,6.72,5.9665,10.07,2.4295,1.4835,1.8172,9.2574,5.0622,6.3264,8.2539,2.4535,4.8122,5.4258,6.5045,2.5979,13.4337,5.6239,10.7542,,,,,,,,,,,,,,17.6992,6.5055,8.9522,4.4574,8.3648,3.1979,11.4332,3.3,14.1615,2.6199,6.4567,5.9126,14.3127,3.5045,3.7288,13.3971,10.4081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6731,2.7522,13.199,4.08,2.7311,9.6823,11.7422,12.1467,9.9452,8.7506,9.02,9.8327,5.6768,8.1917,6.17,2.973,6.8566,3.71,13.4518,8.79,11.2674,4.1409,8.4972,2.02,2.0531,11.6614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,1.3937,0.3225
2014/1/7,4.2628,2.3205,4.0266,8.6279,6.2728,3.0348,3.636,9.7636,5.23,6.9997,11.8557,6.12,2.0944,8.407,4.8549,9.5511,8.7341,4.2109,6.676,8.7235,3.3681,53.2001,4.5915,5.2007,7.2058,6.77,6.2404,10.23,2.4071,1.4923,1.8378,9.1058,4.994,6.2815,8.2858,2.4493,4.9107,5.5108,6.5366,2.5907,13.9798,5.6765,10.7429,,,,,,,,,,,,,,17.5749,6.7585,8.6762,4.5214,8.7388,3.2604,11.2334,3.4056,14.2837,2.6324,6.545,5.9126,14.5908,3.5138,3.8141,13.4099,11.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6357,2.7721,13.1316,4.12,2.747,9.6434,11.8054,12.1467,10.4807,8.8201,9.11,9.8327,5.7049,8.3092,6.15,2.9966,7.0385,3.72,13.7819,8.8,11.2585,4.0947,8.5656,2.02,2.0595,11.3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543,1.4131,0.3232
2014/1/8,4.2545,2.2854,3.9854,8.716,6.3037,2.985,3.6261,9.8403,5.27,7.0891,12.0026,6.12,2.0716,8.3473,4.8037,9.8337,8.7408,4.2109,6.7555,8.7466,3.4038,53.1351,4.6441,5.0954,7.293,6.67,6.2226,10.27,2.3932,1.4659,1.8378,9.449,5.1152,6.3911,8.4341,2.5508,5.0058,5.5441,6.6241,2.6051,14.1277,5.6999,10.9018,,,,,,,,,,,,,,17.7936,6.8353,8.8197,4.7475,8.7913,3.3796,11.6076,3.4089,14.7727,2.6032,6.5176,5.9126,15.1371,3.6023,3.942,13.4483,11.7468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.617,2.822,13.0063,4.05,2.7151,9.5947,11.8834,12.1467,10.5811,9.0784,9.04,9.8327,5.7236,8.2994,5.99,3.0013,6.9036,3.68,13.6837,8.84,11.5333,4.0793,8.5266,2.01,2.0402,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546,1.4038,0.3287
2014/1/9,4.1887,2.2567,3.9305,8.6572,5.9888,2.9353,3.6261,10.0112,5.15,6.8406,11.4935,6.12,1.9731,8.2876,4.5731,9.2214,8.4674,4.2158,6.6561,8.7389,3.2674,53.961,4.491,5.4385,7.1961,6.69,5.9546,10.28,2.4518,1.4483,1.7692,9.1218,4.9334,6.3961,7.971,2.4451,4.9582,5.7104,6.4519,2.5763,13.6416,5.507,10.3949,,,,,,,,,,,,,,18.8078,6.9799,8.2347,4.5516,8.4501,3.2409,11.1002,3.3099,13.3556,2.3783,6.1674,5.9126,14.4517,3.451,3.801,12.2828,11.2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5609,2.7422,12.7269,3.96,2.6512,9.4585,12.0468,12.1467,10.2082,8.7407,8.91,9.8327,5.658,7.9761,5.87,2.9588,6.5516,3.6,14.3171,8.7,12.3489,4.0486,8.3703,1.98,2.0337,10.6638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,1.419,0.3256
2014/1/10,4.1311,2.1961,3.8688,8.667,6.0506,2.8855,3.5168,9.6575,5.08,6.6318,10.9452,6.12,1.9554,8.4568,4.6308,9.0331,8.5141,4.0487,6.6363,8.4923,3.2414,51.7563,4.4145,5.2942,7.0312,6.29,5.645,9.65,2.4686,1.3956,1.6972,8.8185,4.6757,5.9677,7.7497,2.4916,4.8767,5.9137,6.2156,2.5152,13.335,5.2848,10.2133,,,,,,,,,,,,,,18.8377,6.7314,8.3616,4.8492,8.0565,3.0884,10.7006,3.2901,13.2696,2.4075,5.8171,5.9126,14.6305,3.2835,3.6468,12.4237,10.9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3927,2.6425,12.7944,3.82,2.6592,9.4293,11.5045,12.1467,10.2082,8.7903,8.61,9.8327,5.3489,8.1231,5.77,2.9635,6.4285,3.52,14.2725,8.55,12.0741,3.9639,8.0968,1.98,2.0272,10.6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531,1.4148,0.3232
2014/1/13,4.1558,2.193,3.8757,8.2851,6.1926,2.8955,3.4572,9.3922,5.05,6.3733,11.19,6.12,2.011,8.7652,5.0919,9.1273,8.8008,4.0536,6.5866,8.4075,3.3259,51.8213,4.4337,5.3761,6.876,6.4,5.6509,9.55,2.5496,1.4337,1.7692,8.6828,4.5393,5.9079,7.8706,2.4662,4.8767,6.0208,6.271,2.4434,13.55,5.3258,10.8791,,,,,,,,,,,,,,18.8675,6.8489,8.8473,4.9359,8.0565,3.0786,10.5896,3.3396,13.745,2.4241,5.677,5.9126,15.147,3.33,3.6698,12.6158,11.6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4301,2.6225,12.7173,3.92,2.6592,9.3904,10.7021,12.1467,9.4049,8.7208,8.87,9.8327,5.2927,8.4072,5.68,2.973,6.4167,3.5,14.4509,8.34,11.6042,3.9639,8.2042,1.97,2.0466,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531,1.419,0.3217
2014/1/14,4.1969,2.2248,3.958,8.383,6.2358,2.9154,3.5665,9.5632,5.16,6.4727,12.2082,6.12,2.155,8.9343,5.3481,9.4381,8.8341,4.088,6.8846,8.6927,3.4526,52.7253,4.5867,5.4736,6.9439,6.44,5.8951,9.77,2.6417,1.4777,1.7864,9.0579,4.6984,5.9777,8.1854,2.5974,5.3658,6.0282,6.4636,2.4793,13.6521,5.4018,11.4994,,,,,,,,,,,,,,19.5685,7.1697,9.7304,4.9887,8.437,3.1861,10.9036,3.6729,14.329,2.6657,5.7867,5.9126,15.4847,3.6628,3.8403,13.8773,12.4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4488,2.6824,13.0448,4,2.6831,9.6044,10.8693,12.1467,9.6249,9.138,8.89,9.8327,5.3676,8.8384,5.74,3.0013,6.6103,3.57,15.2269,8.63,12.012,4.0255,8.4582,1.99,2.066,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543,1.4443,0.3248
2014/1/15,4.1805,2.193,3.91,8.5103,6.1555,2.9154,3.5565,9.5278,5.13,6.5821,12.2767,6.12,2.1474,8.8249,5.3033,9.6171,8.7074,4.0733,6.9045,8.8237,3.4656,54.1626,4.6441,5.7504,6.9148,6.41,5.8653,9.95,2.6976,1.4865,1.7795,9.9677,4.6151,5.9777,8.2881,2.5974,5.3793,5.9321,6.5366,2.4865,13.8459,5.4427,11.3784,,,,,,,,,,,,,,20.5927,7.635,10.0947,4.9171,8.5354,3.3034,10.9131,4.0095,14.0528,2.749,5.9572,5.9126,15.8622,3.7093,4.0764,14.1207,12.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.402,2.6724,13.0448,4,2.6831,9.7991,10.6464,12.1467,9.7348,9.2572,8.87,9.8327,5.377,8.8482,5.88,2.9824,6.7159,3.57,15.8157,8.62,12.2248,4.0255,8.5363,2,2.0531,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541,1.4704,0.324
2014/1/16,4.1887,2.1961,3.9237,8.5495,6.3654,2.9154,3.5466,9.6693,5.25,6.6119,12.12,6.12,2.1575,8.6558,5.2456,9.7112,8.9474,4.1323,6.9542,8.7312,3.5565,53.6554,4.6728,5.8049,6.9342,6.55,5.8474,9.57,2.678,1.4806,1.7829,9.9917,4.9637,6.0873,8.1854,2.5593,5.2639,6.4015,6.5366,2.5583,13.6874,5.6122,11.5751,,,,,,,,,,,,,,20.5082,7.4723,10.1995,4.8606,8.3779,3.2643,10.9829,3.828,14.2656,2.9198,5.9938,5.9126,15.5244,3.7884,4.1322,14.3128,12.5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4768,2.6923,13.0448,4.01,2.6752,9.6531,10.6873,12.1467,10.0552,9.1678,9.1,9.8327,5.377,8.8972,5.82,3.0297,6.622,3.58,15.3607,8.89,12.4021,4.087,8.3996,2,2.0531,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549,1.4653,0.3248
2014/1/17,4.1393,2.1675,3.9305,8.4614,6.4025,2.8855,3.5764,9.4276,5.21,6.7113,12.4431,6.12,2.251,8.6757,5.3353,9.5794,8.7674,4.0438,6.9144,8.631,3.5403,52.0294,4.5915,5.8634,6.8178,6.46,5.7164,9.13,2.5775,1.5099,1.7452,9.7921,4.8955,5.9279,7.9162,2.5551,5.2537,6.2796,6.3673,2.526,13.4865,5.7642,11.3443,,,,,,,,,,,,,,19.7873,7.4995,10.2713,4.8078,8.2927,3.3093,10.8148,3.6729,14.0981,2.8448,5.9054,5.9126,15.7032,3.7,4.0928,14.569,12.4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3833,2.6524,12.8907,3.9,2.6432,9.4682,10.4755,12.1467,9.9404,9.0387,8.97,9.8327,5.2365,8.858,5.7,3.0203,6.5165,3.52,15.896,8.48,12.1361,4.0178,8.1554,1.97,2.0272,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541,1.4704,0.3232
2014/1/20,4.1146,2.1706,3.9168,8.9412,6.4766,2.8955,3.5466,9.4629,5.21,6.3733,12.2571,6.12,2.2182,8.6558,5.4122,9.7583,8.5007,4.0831,6.9542,8.8314,3.4915,50.5921,4.5915,5.7192,6.8469,6.32,5.6152,9.09,2.611,1.5216,1.7486,9.5767,4.9637,5.7784,7.9573,2.5424,5.2978,6.287,6.2681,2.4721,13.1096,5.6298,10.9698,,,,,,,,,,,,,,18.8526,7.2871,9.6642,5,8.6601,3.2194,10.8623,3.5772,13.4417,2.749,5.808,5.9126,14.8093,3.4813,4.0502,14.0054,12.2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3553,2.6923,13.2568,3.84,2.5793,9.3612,11.0179,12.1467,9.797,9.2075,8.83,9.8327,5.2365,8.6914,5.67,3.077,6.4167,3.51,15.4499,8.51,11.8081,3.987,8.507,1.97,2.0208,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,1.4493,0.3201
2014/1/21,4.1393,2.1898,3.958,8.9217,6.5198,2.9253,3.6062,9.4629,5.22,6.413,12.6683,6.12,2.3243,8.9343,5.5082,10.0974,8.6008,4.0979,6.9641,9.024,3.6702,52.5627,4.6919,5.9063,7.0118,6.39,5.6807,9.22,2.7059,1.5304,1.7795,9.9757,5.0774,5.883,7.971,2.5678,5.3284,6.5826,6.4607,2.5332,13.4125,5.7174,11.7037,,,,,,,,,,,,,,19.5784,7.7253,10.63,5.0527,8.7388,3.3581,10.8782,3.6894,14.0664,2.9448,5.9085,5.9126,15.2364,3.8303,4.1617,15.0108,12.5105,5.8033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3927,2.7422,13.2664,3.89,2.5953,9.4585,11.0142,12.1467,9.9022,9.3764,9.1,9.8327,5.3395,9.5635,5.77,3.1526,6.5751,3.55,15.8335,8.55,11.879,4.0563,8.5852,1.98,2.0402,10.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,1.462,0.3232
2014/1/22,4.2628,2.2503,4.0814,9.0881,6.6,2.9751,3.6757,9.7282,5.26,6.6517,12.7564,6.12,2.3091,8.994,5.3673,10.0974,8.7474,4.2698,7.1827,9.2629,3.6897,52.4782,4.8211,5.9063,7.1088,6.54,6.2464,9.5,2.7143,1.5451,1.8206,10.0555,5.2289,6.0076,8.3953,2.6354,5.4609,6.7231,6.5687,2.6302,13.8388,5.8344,11.9874,,,,,,,,,,,,,,20.3341,8.1636,11.6952,5.0376,8.6601,3.4011,11.0495,3.7125,14.1253,2.9239,6.0029,5.9126,15.733,3.9979,4.1617,15.0429,12.7556,6.3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6263,2.8319,13.3628,3.97,2.6752,9.6823,11.3931,12.1467,10.7246,9.4956,9.28,9.8327,5.5362,10.0926,5.85,3.2093,6.7804,3.63,17.4213,8.9,12.145,4.1409,8.8586,2.02,2.0724,11.1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,1.5748,0.3279
2014/1/23,4.2051,2.2312,4.0814,9.0686,6.8285,2.995,3.6857,9.858,5.26,6.7312,13.2165,6.12,2.3319,8.9642,5.5082,10.2952,8.8274,4.26,7.1827,9.2398,3.7676,52.101,4.8306,5.9375,7.07,6.47,6.4905,9.4,2.7255,1.551,1.8172,10.1513,5.282,6.1022,8.5778,2.6312,5.4507,6.6529,6.6708,2.6482,13.9516,5.7584,12.1236,,,,,,,,,,,,,,19.489,8.7464,12.2803,5.1055,8.6601,3.4598,11.1605,3.795,15.1304,2.9489,6.2435,5.9126,15.9913,4.1677,4.2502,15.6256,12.7556,7.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5703,2.822,13.2183,3.98,2.6432,9.6726,11.4711,12.1467,10.5811,9.3863,9.15,9.8327,5.4894,10.2298,5.83,3.2991,6.6631,3.62,19.1519,9.14,13.0492,4.1255,8.8196,2,2.066,11.3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569,1.6329,0.3279
2014/1/24,4.2298,2.2376,4.0952,9.1077,6.8408,2.995,3.6956,9.7813,5.27,6.7412,13.2948,6.12,2.294,8.9542,5.4058,10.493,9.1341,4.2993,7.2721,9.2938,3.7124,53.6293,4.845,5.996,7.1088,6.7,6.5322,9.47,2.8372,1.5861,1.8481,10.1672,5.3577,6.1421,8.9155,2.6693,5.4914,6.8377,6.7029,2.6697,14.0749,5.7584,11.9912,,,,,,,,,,,,,,19.5039,8.7509,12.0043,5.0602,9.0274,3.4422,11.4237,3.5409,15.2616,2.8365,6.3836,5.9126,15.9515,4.0072,4.3617,15.1966,13.3873,7.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.589,2.8519,13.3146,4.05,2.6592,9.7212,11.4339,12.1467,10.6194,9.4161,9.36,9.8327,5.6393,10.024,5.87,3.3133,6.6924,3.64,19.2054,9.12,13.3418,4.1024,8.8196,2.02,2.0854,11.4015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565,1.6396,0.3295
2014/1/27,4.2051,2.2121,4.0403,8.9217,6.7853,2.9751,3.6857,9.9641,5.08,6.8108,13.0893,6.12,2.2687,8.9343,5.2713,10.5307,9.1341,4.2944,7.431,9.471,3.7156,52.2701,4.8785,6.1675,7.0991,6.96,6.4905,9.48,2.8372,1.6125,1.8344,9.9917,5.2213,6.1022,8.8242,2.6354,5.3148,7.041,6.6533,2.6841,14.3039,5.659,12.0479,,,,,,,,,,,,,,18.7929,8.6695,11.9491,4.7927,8.8306,3.3484,11.3286,3.4551,15.3975,2.824,6.2587,5.9126,16.4879,3.9676,4.2043,14.7227,13.1893,7.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5703,2.7821,13.1123,4.05,2.6592,9.7699,11.0773,12.1467,11.131,9.3366,9.34,9.8327,5.5269,9.8574,5.89,3.3086,6.5692,3.64,18.9913,9.37,13.3152,4.0486,8.6145,2.02,2.0595,11.2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562,1.6422,0.3272
2014/1/28,4.2216,2.2121,4.0471,8.951,6.7606,2.9552,3.6857,9.9759,5,6.7213,12.8543,6.12,2.3091,8.795,5.3545,10.9075,9.0341,4.2944,7.3714,9.471,3.6962,52.5692,4.8402,6.1519,7.1088,6.81,6.4012,9.7,2.7534,1.5949,1.8309,9.84,5.4487,6.1221,8.8242,2.5931,5.2537,7.0151,6.6795,2.6733,14.1207,5.5187,12.0479,10.0537,,,,,,,,,,,,,18.2411,8.8006,13.1468,4.7098,8.6272,3.3855,11.0621,3.4386,15.6963,2.8906,6.2679,5.9126,15.8622,4.2469,4.1584,15.4079,13.2176,7.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6077,2.7322,12.91,4.07,2.6512,9.9158,11.1516,12.1467,11.0832,9.2969,9.24,10.1751,5.5362,10.1416,5.93,3.2377,6.8039,3.61,18.804,9.09,12.7833,4.0101,8.4484,2.01,2.0595,11.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563,1.6422,0.3248
2014/1/29,4.2051,2.2185,4.0403,9.0588,6.8347,2.9054,3.6757,9.9464,5.11,6.6716,13.3634,6.12,2.3496,9.0537,5.5979,10.9452,9.2408,4.3141,7.441,9.4325,3.7546,51.0539,4.9693,6.1324,7.1476,6.89,6.4548,9.55,2.7367,1.6477,1.8584,10.1752,5.5699,6.3164,8.9953,2.6016,5.4676,6.8229,6.6679,2.6733,14.2687,5.5947,11.908,11.0639,,,,,,,,,,,,,18.1217,8.8683,13.5773,4.8681,8.9815,3.323,11.3222,3.4947,15.814,2.7948,6.4506,5.9126,16.1899,4.0653,4.224,15.0172,13.4721,6.6861,4.5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5796,2.7522,12.987,4.08,2.6592,9.8769,11.2296,12.1467,11.2553,9.6644,9.27,10.1164,5.5643,10.2494,5.78,3.2897,6.8273,3.61,20.142,9.3,13.2886,4.1024,8.4875,2.03,2.0595,11.3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,1.6834,0.3264
2014/1/30,4.1558,2.193,4.1226,9.0392,6.7544,2.8855,3.6857,9.9523,5.07,6.7213,13.0501,6.12,2.2864,8.8647,5.4506,10.9357,8.8874,4.3927,7.4708,9.3785,3.5955,48.9077,4.998,6.1324,7.1573,6.85,6.3595,8.6,2.7506,1.6389,1.8549,9.9119,5.479,6.3264,8.7603,2.5762,5.4303,6.4939,6.6591,2.6518,14.1313,5.5187,11.6356,10.248,,,,,,,,,,,,,18.6786,8.9406,13.6159,4.8379,8.9422,3.6553,11.3508,3.4188,15.7234,2.649,6.4536,5.9126,15.6933,3.9327,4.0732,14.3769,13.5475,6.3796,4.3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5516,2.7322,12.8136,4.05,2.6911,9.7601,11.107,12.1467,10.9445,9.7141,9.32,9.8082,5.5175,9.8672,5.76,3.6205,6.7863,3.53,18.9556,9.66,13.1911,4.0947,8.1847,2.01,2.0272,11.1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579,1.6817,0.3287
2014/2/7,4.1722,2.1993,4.1569,9.2252,7.0569,2.9751,3.7254,10.0643,5.07,6.8008,13.4809,6.12,2.3723,9.3323,5.8093,10.9734,9.2675,4.4713,7.4708,9.7176,3.6734,51.5677,5.0172,6.2806,7.2349,6.93,6.6692,8.6,2.759,1.6448,1.8858,10.0635,5.4563,6.4111,8.8288,2.5762,5.5661,6.6307,6.6095,2.6841,14.3462,5.6648,12.2938,10.8696,,,,,,,,,,,,,19.2801,9.0807,14.7418,5,9.1324,3.5751,11.7757,3.4716,15.6782,2.7199,6.5176,5.9126,15.8622,4.0002,4.1551,14.7739,13.6512,6.5195,4.8113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5142,2.802,13.0256,4.15,2.7311,9.7893,11.3448,12.1467,11.4083,10.0915,9.44,10.0577,5.5924,10.3866,5.76,3.734,6.7745,3.55,20.82,10.01,13.1113,4.1024,8.507,2.01,2.0595,11.3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589,1.7323,0.3303
2014/2/10,4.2463,2.2599,4.2186,9.4113,7.1372,3.0248,3.795,10.2058,5.19,7.2582,13.7256,6.12,2.4733,9.4019,5.8733,12.0755,10.1942,4.6531,7.6993,9.9025,3.8358,52.6018,5.1606,6.3624,7.3415,7.12,6.8537,8.86,2.8093,1.6653,1.9166,10.3747,5.767,6.5356,9.3877,2.6566,5.6816,6.8266,6.8488,2.7775,15.4701,5.8344,12.4451,11.6079,,,,,,,,,,,,,19.3696,9.1033,14.8964,5.1055,9.2899,3.6338,12.5591,3.5376,15.9453,2.7865,6.6547,5.9126,16.5674,4.0863,4.2994,15.1966,13.8681,7.1092,5.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6544,2.9616,13.3242,4.25,2.771,10.2953,11.8834,12.1467,11.9582,10.2703,9.61,10.3659,5.8266,10.5629,5.84,3.8521,7.232,3.65,21.5603,10.11,13.9623,4.1794,8.8489,2.05,2.1047,11.5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593,1.7744,0.335
2014/2/11,4.3204,2.2886,4.2255,9.6953,7.0384,3.0447,3.8049,10.1527,5.2,7.109,13.5102,6.12,2.4531,9.8298,5.8221,11.9907,10.5609,4.5745,7.9079,9.7099,3.8098,52.0294,5.2372,6.3274,7.4482,7.12,6.8002,8.91,2.7115,1.6653,1.9029,10.6141,6.2671,6.6153,9.3421,2.682,5.6884,7.5103,6.9218,2.7775,15.4172,5.9279,12.6342,12.7735,,,,,,,,,,,,,18.9222,9.5189,15.7298,5.0753,9.0865,3.7393,12.4639,3.6267,17.394,2.8823,6.5968,5.9126,16.2595,4.084,4.2011,14.665,13.3495,7.1358,5.4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8413,2.9416,13.7192,4.24,2.779,10.3732,12.2252,12.1467,11.8147,10.0617,9.59,10.8551,5.9859,10.6315,5.87,4.1593,7.3611,3.72,20.5345,10.02,13.59,4.1717,9.0247,2.06,2.1047,11.7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,1.6792,0.3334
